Tiempo (s)	 Campo (A/m)	 Magnetizacion (A/m)
0.000000e+00	-1.739054e+04	-3.177435e+02
1.000000e-08	-1.738754e+04	-3.185174e+02
2.000000e-08	-1.737954e+04	-3.192901e+02
3.000000e-08	-1.736632e+04	-3.195277e+02
4.000000e-08	-1.734873e+04	-3.192419e+02
5.000000e-08	-1.732786e+04	-3.189627e+02
6.000000e-08	-1.730353e+04	-3.191385e+02
7.000000e-08	-1.727387e+04	-3.197100e+02
8.000000e-08	-1.723682e+04	-3.202997e+02
9.000000e-08	-1.719211e+04	-3.206578e+02
1.000000e-07	-1.714178e+04	-3.207952e+02
1.100000e-07	-1.708845e+04	-3.207785e+02
1.200000e-07	-1.703321e+04	-3.206224e+02
1.300000e-07	-1.697498e+04	-3.204521e+02
1.400000e-07	-1.691195e+04	-3.205745e+02
1.500000e-07	-1.684344e+04	-3.211620e+02
1.600000e-07	-1.677022e+04	-3.218861e+02
1.700000e-07	-1.669332e+04	-3.220995e+02
1.800000e-07	-1.661284e+04	-3.215501e+02
1.900000e-07	-1.652796e+04	-3.208280e+02
2.000000e-07	-1.643801e+04	-3.208925e+02
2.100000e-07	-1.634316e+04	-3.220608e+02
2.200000e-07	-1.624411e+04	-3.235449e+02
2.300000e-07	-1.614120e+04	-3.240847e+02
2.400000e-07	-1.603412e+04	-3.230438e+02
2.500000e-07	-1.592244e+04	-3.208765e+02
2.600000e-07	-1.580610e+04	-3.186254e+02
2.700000e-07	-1.568544e+04	-3.171121e+02
2.800000e-07	-1.556066e+04	-3.165984e+02
2.900000e-07	-1.543153e+04	-3.169663e+02
3.000000e-07	-1.529768e+04	-3.179063e+02
3.100000e-07	-1.515907e+04	-3.188467e+02
3.200000e-07	-1.501607e+04	-3.189179e+02
3.300000e-07	-1.486916e+04	-3.173128e+02
3.400000e-07	-1.471850e+04	-3.139013e+02
3.500000e-07	-1.456393e+04	-3.095457e+02
3.600000e-07	-1.440512e+04	-3.057541e+02
3.700000e-07	-1.424193e+04	-3.038449e+02
3.800000e-07	-1.407445e+04	-3.041458e+02
3.900000e-07	-1.390314e+04	-3.057118e+02
4.000000e-07	-1.372859e+04	-3.067822e+02
4.100000e-07	-1.355122e+04	-3.058204e+02
4.200000e-07	-1.337086e+04	-3.025430e+02
4.300000e-07	-1.318679e+04	-2.981407e+02
4.400000e-07	-1.299830e+04	-2.943531e+02
4.500000e-07	-1.280544e+04	-2.920579e+02
4.600000e-07	-1.260906e+04	-2.906364e+02
4.700000e-07	-1.241003e+04	-2.887490e+02
4.800000e-07	-1.220830e+04	-2.857425e+02
4.900000e-07	-1.200287e+04	-2.822194e+02
5.000000e-07	-1.179286e+04	-2.792096e+02
5.100000e-07	-1.157849e+04	-2.769470e+02
5.200000e-07	-1.136098e+04	-2.746641e+02
5.300000e-07	-1.114136e+04	-2.715753e+02
5.400000e-07	-1.091948e+04	-2.678125e+02
5.500000e-07	-1.069438e+04	-2.641966e+02
5.600000e-07	-1.046539e+04	-2.611956e+02
5.700000e-07	-1.023295e+04	-2.583927e+02
5.800000e-07	-9.998104e+03	-2.550866e+02
5.900000e-07	-9.761575e+03	-2.512017e+02
6.000000e-07	-9.523289e+03	-2.473453e+02
6.100000e-07	-9.282901e+03	-2.439909e+02
6.200000e-07	-9.040400e+03	-2.408769e+02
6.300000e-07	-8.795986e+03	-2.373800e+02
6.400000e-07	-8.549454e+03	-2.333304e+02
6.500000e-07	-8.300042e+03	-2.292006e+02
6.600000e-07	-8.047133e+03	-2.254594e+02
6.700000e-07	-7.791077e+03	-2.219741e+02
6.800000e-07	-7.533066e+03	-2.182287e+02
6.900000e-07	-7.274082e+03	-2.140165e+02
7.000000e-07	-7.014040e+03	-2.096710e+02
7.100000e-07	-6.752053e+03	-2.055658e+02
7.200000e-07	-6.487523e+03	-2.016044e+02
7.300000e-07	-6.220806e+03	-1.973914e+02
7.400000e-07	-5.952779e+03	-1.928174e+02
7.500000e-07	-5.683858e+03	-1.882260e+02
7.600000e-07	-5.413589e+03	-1.839298e+02
7.700000e-07	-5.141185e+03	-1.797502e+02
7.800000e-07	-4.866337e+03	-1.752336e+02
7.900000e-07	-4.589458e+03	-1.702641e+02
8.000000e-07	-4.311255e+03	-1.652420e+02
8.100000e-07	-4.032225e+03	-1.605719e+02
8.200000e-07	-3.752545e+03	-1.561361e+02
8.300000e-07	-3.472260e+03	-1.514499e+02
8.400000e-07	-3.191402e+03	-1.462878e+02
8.500000e-07	-2.909954e+03	-1.409530e+02
8.600000e-07	-2.627858e+03	-1.358539e+02
8.700000e-07	-2.345121e+03	-1.309769e+02
8.800000e-07	-2.061863e+03	-1.259487e+02
8.900000e-07	-1.778153e+03	-1.205674e+02
9.000000e-07	-1.493869e+03	-1.150637e+02
9.100000e-07	-1.208819e+03	-1.097567e+02
9.200000e-07	-9.230738e+02	-1.046083e+02
9.300000e-07	-6.370742e+02	-9.929239e+01
9.400000e-07	-3.513181e+02	-9.366165e+01
9.500000e-07	-6.593274e+01	-8.794039e+01
9.600000e-07	2.193537e+02	-8.237722e+01
9.700000e-07	5.047942e+02	-7.686302e+01
9.800000e-07	7.902533e+02	-7.107622e+01
9.900000e-07	1.075325e+03	-6.496789e+01
1.000000e-06	1.359770e+03	-5.889492e+01
1.010000e-06	1.643722e+03	-5.317500e+01
1.020000e-06	1.927410e+03	-4.764725e+01
1.030000e-06	2.210767e+03	-4.185106e+01
1.040000e-06	2.493408e+03	-3.561196e+01
1.050000e-06	2.775001e+03	-2.926074e+01
1.060000e-06	3.055610e+03	-2.319059e+01
1.070000e-06	3.335645e+03	-1.734356e+01
1.080000e-06	3.615544e+03	-1.131214e+01
1.090000e-06	3.895465e+03	-4.908841e+00
1.100000e-06	4.175152e+03	1.574199e+00
1.110000e-06	4.453903e+03	7.766158e+00
1.120000e-06	4.730714e+03	1.372564e+01
1.130000e-06	5.004727e+03	1.985674e+01
1.140000e-06	5.275845e+03	2.634643e+01
1.150000e-06	5.544946e+03	3.289764e+01
1.160000e-06	5.813276e+03	3.913265e+01
1.170000e-06	6.081393e+03	4.512106e+01
1.180000e-06	6.348661e+03	5.130306e+01
1.190000e-06	6.613871e+03	5.789347e+01
1.200000e-06	6.876424e+03	6.456367e+01
1.210000e-06	7.136826e+03	7.083738e+01
1.220000e-06	7.396009e+03	7.668280e+01
1.230000e-06	7.654221e+03	8.252287e+01
1.240000e-06	7.910708e+03	8.866528e+01
1.250000e-06	8.164446e+03	9.491937e+01
1.260000e-06	8.415046e+03	1.008938e+02
1.270000e-06	8.662884e+03	1.065452e+02
1.280000e-06	8.908492e+03	1.122305e+02
1.290000e-06	9.152042e+03	1.182119e+02
1.300000e-06	9.393452e+03	1.243075e+02
1.310000e-06	9.632756e+03	1.301565e+02
1.320000e-06	9.870113e+03	1.357063e+02
1.330000e-06	1.010543e+04	1.412401e+02
1.340000e-06	1.033819e+04	1.469234e+02
1.350000e-06	1.056780e+04	1.525354e+02
1.360000e-06	1.079412e+04	1.577884e+02
1.370000e-06	1.101751e+04	1.627896e+02
1.380000e-06	1.123830e+04	1.679605e+02
1.390000e-06	1.145636e+04	1.734692e+02
1.400000e-06	1.167113e+04	1.789377e+02
1.410000e-06	1.188217e+04	1.838680e+02
1.420000e-06	1.208938e+04	1.882671e+02
1.430000e-06	1.229299e+04	1.926561e+02
1.440000e-06	1.249331e+04	1.974318e+02
1.450000e-06	1.269057e+04	2.023990e+02
1.460000e-06	1.288484e+04	2.070603e+02
1.470000e-06	1.307598e+04	2.112562e+02
1.480000e-06	1.326352e+04	2.153165e+02
1.490000e-06	1.344704e+04	2.195689e+02
1.500000e-06	1.362659e+04	2.239042e+02
1.510000e-06	1.380280e+04	2.279766e+02
1.520000e-06	1.397629e+04	2.317150e+02
1.530000e-06	1.414694e+04	2.354125e+02
1.540000e-06	1.431381e+04	2.392787e+02
1.550000e-06	1.447599e+04	2.431132e+02
1.560000e-06	1.463349e+04	2.465847e+02
1.570000e-06	1.478706e+04	2.497311e+02
1.580000e-06	1.493725e+04	2.529517e+02
1.590000e-06	1.508365e+04	2.564623e+02
1.600000e-06	1.522529e+04	2.599586e+02
1.610000e-06	1.536166e+04	2.629884e+02
1.620000e-06	1.549326e+04	2.655607e+02
1.630000e-06	1.562104e+04	2.681638e+02
1.640000e-06	1.574540e+04	2.711363e+02
1.650000e-06	1.586594e+04	2.742234e+02
1.660000e-06	1.598192e+04	2.769168e+02
1.670000e-06	1.609308e+04	2.791285e+02
1.680000e-06	1.619966e+04	2.812932e+02
1.690000e-06	1.630204e+04	2.837672e+02
1.700000e-06	1.640036e+04	2.863481e+02
1.710000e-06	1.649460e+04	2.885686e+02
1.720000e-06	1.658478e+04	2.903521e+02
1.730000e-06	1.667087e+04	2.921200e+02
1.740000e-06	1.675269e+04	2.941977e+02
1.750000e-06	1.682987e+04	2.963472e+02
