Tiempo (s)	 Campo (A/m)	 Magnetizacion (A/m)
0.000000e+00	-1.738547e+04	-3.637256e+02
1.000000e-08	-1.738104e+04	-3.643489e+02
2.000000e-08	-1.737116e+04	-3.650021e+02
3.000000e-08	-1.735624e+04	-3.651806e+02
4.000000e-08	-1.733755e+04	-3.647572e+02
5.000000e-08	-1.731576e+04	-3.642171e+02
6.000000e-08	-1.728977e+04	-3.642219e+02
7.000000e-08	-1.725736e+04	-3.648935e+02
8.000000e-08	-1.721724e+04	-3.655864e+02
9.000000e-08	-1.717048e+04	-3.654655e+02
1.000000e-07	-1.711972e+04	-3.643594e+02
1.100000e-07	-1.706688e+04	-3.630122e+02
1.200000e-07	-1.701160e+04	-3.624284e+02
1.300000e-07	-1.695192e+04	-3.629367e+02
1.400000e-07	-1.688643e+04	-3.638999e+02
1.500000e-07	-1.681553e+04	-3.643449e+02
1.600000e-07	-1.674067e+04	-3.638619e+02
1.700000e-07	-1.666265e+04	-3.628960e+02
1.800000e-07	-1.658090e+04	-3.622199e+02
1.900000e-07	-1.649430e+04	-3.621945e+02
2.000000e-07	-1.640246e+04	-3.625319e+02
2.100000e-07	-1.630589e+04	-3.626718e+02
2.200000e-07	-1.620524e+04	-3.622881e+02
2.300000e-07	-1.610057e+04	-3.614585e+02
2.400000e-07	-1.599150e+04	-3.604861e+02
2.500000e-07	-1.587791e+04	-3.596672e+02
2.600000e-07	-1.576004e+04	-3.591839e+02
2.700000e-07	-1.563803e+04	-3.590596e+02
2.800000e-07	-1.551152e+04	-3.591181e+02
2.900000e-07	-1.538005e+04	-3.590342e+02
3.000000e-07	-1.524375e+04	-3.585465e+02
3.100000e-07	-1.510338e+04	-3.576655e+02
3.200000e-07	-1.495965e+04	-3.566226e+02
3.300000e-07	-1.481238e+04	-3.555746e+02
3.400000e-07	-1.466066e+04	-3.544193e+02
3.500000e-07	-1.450379e+04	-3.529884e+02
3.600000e-07	-1.434204e+04	-3.514050e+02
3.700000e-07	-1.417639e+04	-3.501104e+02
3.800000e-07	-1.400774e+04	-3.494107e+02
3.900000e-07	-1.383626e+04	-3.490119e+02
4.000000e-07	-1.366148e+04	-3.481271e+02
4.100000e-07	-1.348285e+04	-3.461347e+02
4.200000e-07	-1.330007e+04	-3.431238e+02
4.300000e-07	-1.311319e+04	-3.397596e+02
4.400000e-07	-1.292253e+04	-3.366493e+02
4.500000e-07	-1.272857e+04	-3.339038e+02
4.600000e-07	-1.253170e+04	-3.312848e+02
4.700000e-07	-1.233191e+04	-3.286159e+02
4.800000e-07	-1.212861e+04	-3.259047e+02
4.900000e-07	-1.192112e+04	-3.231053e+02
5.000000e-07	-1.170926e+04	-3.199641e+02
5.100000e-07	-1.149360e+04	-3.162546e+02
