Unit:(mV)
                     CH1         CH2
Frequency              ?  98.433 kHz
00217           -1340.00    -7440.00
00218           -1340.00    -7520.00
00219           -1340.00    -7520.00
00220           -1340.00    -7520.00
00221           -1360.00    -7440.00
00222           -1360.00    -7440.00
00223           -1340.00    -7440.00
00224           -1340.00    -7440.00
00225           -1360.00    -7440.00
00226           -1360.00    -7440.00
00227           -1340.00    -7440.00
00228           -1340.00    -7360.00
00229           -1340.00    -7440.00
00230           -1340.00    -7440.00
00231           -1340.00    -7360.00
00232           -1340.00    -7360.00
00233           -1340.00    -7360.00
00234           -1340.00    -7360.00
00235           -1340.00    -7360.00
00236           -1340.00    -7360.00
00237           -1320.00    -7360.00
00238           -1340.00    -7360.00
00239           -1340.00    -7280.00
00240           -1340.00    -7360.00
00241           -1320.00    -7280.00
00242           -1340.00    -7360.00
00243           -1340.00    -7280.00
00244           -1320.00    -7200.00
00245           -1320.00    -7200.00
00246           -1320.00    -7200.00
00247           -1320.00    -7200.00
00248           -1340.00    -7200.00
00249           -1320.00    -7200.00
00250           -1320.00    -7120.00
00251           -1300.00    -7120.00
00252           -1300.00    -7120.00
00253           -1300.00    -7120.00
00254           -1280.00    -7040.00
00255           -1280.00    -7040.00
00256           -1300.00    -6960.00
00257           -1300.00    -6960.00
00258           -1280.00    -7040.00
00259           -1260.00    -6960.00
00260           -1280.00    -6960.00
00261           -1260.00    -6880.00
00262           -1260.00    -6960.00
00263           -1260.00    -6880.00
00264           -1260.00    -6880.00
00265           -1260.00    -6880.00
00266           -1260.00    -6800.00
00267           -1240.00    -6880.00
00268           -1260.00    -6800.00
00269           -1240.00    -6720.00
00270           -1240.00    -6720.00
00271           -1240.00    -6720.00
00272           -1240.00    -6720.00
00273           -1240.00    -6720.00
00274           -1240.00    -6720.00
00275           -1220.00    -6640.00
00276           -1220.00    -6640.00
00277           -1240.00    -6560.00
00278           -1220.00    -6560.00
00279           -1220.00    -6560.00
00280           -1220.00    -6560.00
00281           -1220.00    -6480.00
00282           -1180.00    -6480.00
00283           -1200.00    -6480.00
00284           -1180.00    -6400.00
00285           -1180.00    -6400.00
00286           -1180.00    -6480.00
00287           -1180.00    -6400.00
00288           -1180.00    -6400.00
00289           -1180.00    -6320.00
00290           -1160.00    -6320.00
00291           -1180.00    -6240.00
00292           -1160.00    -6240.00
00293           -1160.00    -6160.00
00294           -1160.00    -6160.00
00295           -1160.00    -6160.00
00296           -1160.00    -6160.00
00297           -1160.00    -6160.00
00298           -1140.00    -6080.00
00299           -1140.00    -6080.00
00300           -1140.00    -6080.00
00301           -1120.00    -6080.00
00302           -1140.00    -5920.00
00303           -1140.00    -5920.00
00304           -1100.00    -5920.00
00305           -1100.00    -5840.00
00306           -1100.00    -5840.00
00307           -1080.00    -5840.00
00308           -1100.00    -5840.00
00309           -1080.00    -5760.00
00310           -1080.00    -5760.00
00311           -1060.00    -5680.00
00312           -1080.00    -5760.00
00313           -1060.00    -5680.00
00314           -1060.00    -5600.00
00315           -1060.00    -5600.00
00316           -1060.00    -5520.00
00317           -1060.00    -5440.00
00318           -1020.00    -5440.00
00319           -1020.00    -5440.00
00320           -1020.00    -5440.00
00321           -1020.00    -5360.00
00322           -1000.00    -5360.00
00323           -1020.00    -5280.00
00324           -1000.00    -5280.00
00325           -1000.00    -5280.00
00326           -1000.00    -5200.00
00327            -980.00    -5200.00
00328            -980.00    -5120.00
00329            -980.00    -5120.00
00330            -940.00    -5120.00
00331            -940.00    -5040.00
00332            -980.00    -5040.00
00333            -940.00    -4960.00
00334            -940.00    -4960.00
00335            -940.00    -4960.00
00336            -920.00    -4880.00
00337            -920.00    -4800.00
00338            -920.00    -4800.00
00339            -920.00    -4800.00
00340            -900.00    -4800.00
00341            -900.00    -4720.00
00342            -900.00    -4640.00
00343            -900.00    -4560.00
00344            -860.00    -4560.00
00345            -860.00    -4560.00
00346            -860.00    -4560.00
00347            -860.00    -4400.00
00348            -860.00    -4400.00
00349            -840.00    -4400.00
00350            -840.00    -4320.00
00351            -840.00    -4320.00
00352            -820.00    -4240.00
00353            -820.00    -4240.00
00354            -820.00    -4240.00
00355            -820.00    -4160.00
00356            -820.00    -4160.00
00357            -820.00    -4080.00
00358            -780.00    -4080.00
00359            -800.00    -4000.00
00360            -780.00    -3920.00
00361            -760.00    -3920.00
00362            -760.00    -3840.00
00363            -760.00    -3840.00
00364            -760.00    -3840.00
00365            -740.00    -3760.00
00366            -740.00    -3680.00
00367            -740.00    -3680.00
00368            -740.00    -3680.00
00369            -720.00    -3600.00
00370            -740.00    -3600.00
00371            -700.00    -3520.00
00372            -680.00    -3520.00
00373            -680.00    -3440.00
00374            -680.00    -3360.00
00375            -680.00    -3360.00
00376            -680.00    -3360.00
00377            -660.00    -3280.00
00378            -660.00    -3200.00
00379            -660.00    -3200.00
00380            -620.00    -3200.00
00381            -620.00    -3120.00
00382            -620.00    -3040.00
00383            -620.00    -3040.00
00384            -600.00    -2960.00
00385            -600.00    -2960.00
00386            -600.00    -2880.00
00387            -580.00    -2800.00
00388            -580.00    -2720.00
00389            -580.00    -2720.00
00390            -540.00    -2720.00
00391            -540.00    -2720.00
00392            -540.00    -2640.00
00393            -520.00    -2560.00
00394            -520.00    -2560.00
00395            -500.00    -2560.00
00396            -500.00    -2480.00
00397            -500.00    -2400.00
00398            -500.00    -2400.00
00399            -460.00    -2320.00
00400            -460.00    -2240.00
00401            -460.00    -2320.00
00402            -440.00    -2240.00
00403            -440.00    -2160.00
00404            -440.00    -2080.00
00405            -440.00    -2000.00
00406            -420.00    -2000.00
00407            -420.00    -2000.00
00408            -420.00    -1840.00
00409            -420.00    -1920.00
00410            -380.00    -1840.00
00411            -380.00    -1760.00
00412            -380.00    -1760.00
00413            -380.00    -1680.00
00414            -360.00    -1680.00
00415            -340.00    -1600.00
00416            -340.00    -1600.00
00417            -340.00    -1440.00
00418            -340.00    -1440.00
00419            -300.00    -1440.00
00420            -300.00    -1440.00
00421            -300.00    -1360.00
00422            -300.00    -1280.00
00423            -300.00    -1280.00
00424            -280.00    -1120.00
00425            -300.00    -1200.00
00426            -280.00    -1120.00
00427            -280.00    -1040.00
00428            -260.00    -1040.00
00429            -220.00     -960.00
00430            -240.00     -960.00
00431            -220.00     -880.00
00432            -220.00     -880.00
00433            -220.00     -800.00
00434            -200.00     -800.00
00435            -200.00     -720.00
00436            -200.00     -640.00
00437            -200.00     -640.00
00438            -180.00     -480.00
00439            -180.00     -480.00
00440            -180.00     -400.00
00441            -160.00     -400.00
00442            -120.00     -320.00
00443            -120.00     -320.00
00444            -140.00     -240.00
