Unit:(mV)
                     CH1         CH2
Frequency              ? 300.720 kHz
00001              -4.00      800.00
00002              -6.00      600.00
00003               0.00      400.00
00004               2.00      200.00
00005               4.00     -200.00
00006              12.00     -400.00
00007              42.00     -400.00
00008              26.00     -800.00
00009             -20.00    -1000.00
00010             -28.00    -1000.00
00011              10.00    -1400.00
00012              34.00    -1600.00
00013              62.00    -2000.00
00014             250.00    -2000.00
00015             250.00    -2600.00
00016            -250.00    -3200.00
00017            -250.00    -3200.00
00018            -158.00    -3400.00
00019             250.00    -3400.00
00020             182.00    -3400.00
00021             250.00    -3600.00
00022             -48.00    -4600.00
00023            -250.00    -4200.00
00024             212.00    -4600.00
00025             250.00    -5200.00
00026            -128.00    -4400.00
00027              58.00    -5800.00
00028            -242.00    -5600.00
00029               4.00    -5400.00
00030             250.00    -6400.00
00031            -228.00    -5600.00
00032             -12.00    -6600.00
00033              84.00    -6600.00
00034              22.00    -6400.00
00035              46.00    -7600.00
00036            -162.00    -6800.00
00037              30.00    -7600.00
00038              44.00    -8000.00
00039              26.00    -7400.00
00040              36.00    -8400.00
00041            -156.00    -8000.00
00042              42.00    -8400.00
00043              66.00    -8800.00
00044             -22.00    -8600.00
00045              -6.00    -9400.00
00046             -64.00    -9000.00
00047              54.00    -9200.00
00048              42.00    -9800.00
00049             -52.00    -9400.00
00050             -36.00   -10200.00
00051             -10.00    -9800.00
00052              36.00   -10200.00
00053              30.00   -10400.00
00054             -28.00   -10400.00
00055             -52.00   -10600.00
00056             -30.00   -10800.00
00057              44.00   -11000.00
00058              42.00   -11000.00
00059             -46.00   -11200.00
00060             -42.00   -11600.00
00061              -8.00   -11400.00
00062              14.00   -11600.00
00063              12.00   -11800.00
00064             -22.00   -12000.00
00065              -8.00   -12000.00
00066             -20.00   -12000.00
00067               2.00   -12000.00
00068              12.00   -12200.00
00069             -18.00   -12400.00
00070             -16.00   -12400.00
00071              -6.00   -12400.00
00072              -2.00   -12400.00
00073             -12.00   -12600.00
00074             -10.00   -12800.00
00075               6.00   -12800.00
00076             -12.00   -12800.00
00077             -16.00   -12800.00
00078              -4.00   -13000.00
00079              -6.00   -12800.00
00080              -6.00   -13000.00
00081              -8.00   -13000.00
00082              -6.00   -13000.00
00083             -14.00   -13200.00
00084             -20.00   -13000.00
00085              12.00   -13000.00
00086              -4.00   -13000.00
00087             -22.00   -13000.00
00088             -12.00   -13200.00
00089               2.00   -13000.00
00090               4.00   -13000.00
00091             -12.00   -13000.00
00092             -14.00   -13000.00
00093              -6.00   -13000.00
00094              -8.00   -13000.00
00095              -2.00   -13000.00
00096             -10.00   -13000.00
00097             -12.00   -12800.00
00098              -6.00   -12800.00
00099               0.00   -12800.00
00100              -2.00   -12800.00
00101             -22.00   -12600.00
00102              -6.00   -12800.00
00103              10.00   -12400.00
00104              -6.00   -12400.00
00105             -20.00   -12400.00
00106             -20.00   -12200.00
00107               2.00   -12200.00
00108              10.00   -12200.00
00109              -4.00   -12000.00
00110             -14.00   -12000.00
00111             -14.00   -12000.00
00112              -6.00   -11600.00
00113               4.00   -11400.00
00114             -10.00   -11400.00
00115             -20.00   -11400.00
00116             -12.00   -11200.00
00117               2.00   -11000.00
00118               2.00   -10800.00
00119             -12.00   -10800.00
00120             -12.00   -10600.00
00121              -6.00   -10600.00
00122              -4.00   -10200.00
00123              -6.00   -10400.00
00124             -14.00   -10000.00
00125             -10.00   -10000.00
00126              -6.00    -9800.00
00127              -6.00    -9600.00
00128             -10.00    -9600.00
00129             -14.00    -9200.00
00130              -2.00    -9200.00
00131              -4.00    -8800.00
00132             -14.00    -8800.00
00133             -14.00    -8800.00
00134             -12.00    -8400.00
00135              -4.00    -8200.00
00136              -8.00    -8000.00
00137              -6.00    -8000.00
00138              -6.00    -7600.00
00139              -8.00    -7200.00
00140              -4.00    -7200.00
00141              -8.00    -7000.00
00142             -18.00    -6600.00
00143             -10.00    -6600.00
00144               0.00    -6400.00
00145               2.00    -6000.00
00146             -12.00    -6000.00
00147             -18.00    -5600.00
00148              -6.00    -5400.00
00149              -2.00    -5200.00
00150               0.00    -5000.00
00151              -6.00    -4800.00
00152             -12.00    -4400.00
00153             -10.00    -4200.00
00154              -4.00    -4000.00
00155              -2.00    -4000.00
00156              -6.00    -3600.00
00157             -10.00    -3200.00
00158               2.00    -3200.00
00159              -4.00    -2800.00
00160             -10.00    -2600.00
00161             -10.00    -2400.00
00162               2.00    -2200.00
00163               4.00    -1800.00
00164              -4.00    -1600.00
00165              -6.00    -1400.00
00166             -10.00    -1200.00
00167              -4.00     -800.00
00168               2.00     -800.00
00169              -2.00     -400.00
00170              -6.00     -200.00
00171              -4.00        0.00
00172              10.00      200.00
00173              42.00      600.00
00174              34.00      800.00
00175             -20.00      800.00
00176             -36.00     1000.00
00177              -2.00     1400.00
00178              28.00     1600.00
00179              26.00     1800.00
00180              58.00     2000.00
00181             250.00     2400.00
00182             250.00     2800.00
00183            -250.00     3000.00
00184            -250.00     3200.00
00185               2.00     3400.00
00186             250.00     3600.00
00187              24.00     3800.00
00188            -222.00     4000.00
00189             250.00     4400.00
00190             -46.00     4400.00
00191            -154.00     4800.00
00192             126.00     4800.00
00193             -44.00     5200.00
00194              74.00     5800.00
00195              58.00     5400.00
00196            -160.00     6000.00
00197              -8.00     6200.00
00198              20.00     6200.00
00199              26.00     6600.00
00200              82.00     6800.00
00201             -66.00     6800.00
