Tiempo_(s)	Campo_(A/m)	Magnetizacion_(A/m)
0.0000000000	-51816.264651	-727.880123
0.0000000100	-51816.726414	-727.899565
0.0000000200	-51795.357935	-727.733318
0.0000000300	-51750.088442	-727.390098
0.0000000400	-51688.891109	-726.904966
0.0000000500	-51618.656691	-726.325958
0.0000000600	-51533.192911	-725.691979
0.0000000700	-51429.237108	-725.011801
0.0000000800	-51309.880793	-724.254836
0.0000000900	-51175.537196	-723.360288
0.0000001000	-51022.037014	-722.263739
0.0000001100	-50830.650770	-720.932157
0.0000001200	-50604.132304	-719.393294
0.0000001300	-50362.754534	-717.745913
0.0000001400	-50105.135915	-716.143439
0.0000001500	-49824.394943	-714.753504
0.0000001600	-49529.264947	-713.705424
0.0000001700	-49219.736674	-713.043248
0.0000001800	-48888.928620	-712.701063
0.0000001900	-48550.403351	-712.509977
0.0000002000	-48202.708393	-712.235330
0.0000002100	-47834.432133	-711.632266
0.0000002200	-47457.308444	-710.501880
0.0000002300	-47065.535147	-708.730731
0.0000002400	-46644.214393	-706.303261
0.0000002500	-46213.101026	-703.286513
0.0000002600	-45770.557541	-699.795784
0.0000002700	-45305.115277	-695.954879
0.0000002800	-44824.937063	-691.864184
0.0000002900	-44328.043094	-687.584502
0.0000003000	-43809.261833	-683.137390
0.0000003100	-43278.128402	-678.516630
0.0000003200	-42742.232037	-673.702878
0.0000003300	-42183.427640	-668.674807
0.0000003400	-41600.783906	-663.413985
0.0000003500	-41007.269767	-657.904877
0.0000003600	-40405.316803	-652.133638
0.0000003700	-39795.324363	-646.088941
0.0000003800	-39170.520417	-639.765550
0.0000003900	-38527.884381	-633.168479
0.0000004000	-37864.790397	-626.314238
0.0000004100	-37184.572056	-619.226663
0.0000004200	-36496.513146	-611.927729
0.0000004300	-35799.293800	-604.426932
0.0000004400	-35083.806004	-596.714389
0.0000004500	-34351.678009	-588.761711
0.0000004600	-33613.072486	-580.531226
0.0000004700	-32865.368203	-571.989985
0.0000004800	-32109.642949	-563.122189
0.0000004900	-31347.255138	-553.933947
0.0000005000	-30574.567424	-544.447568
0.0000005100	-29780.524375	-534.687569
0.0000005200	-28963.240246	-524.664795
0.0000005300	-28135.798071	-514.366330
0.0000005400	-27302.172872	-503.756483
0.0000005500	-26463.851041	-492.788982
0.0000005600	-25617.850539	-481.425065
0.0000005700	-24760.490850	-469.648963
0.0000005800	-23893.685474	-457.473187
0.0000005900	-23021.053251	-444.930547
0.0000006000	-22145.685696	-432.056154
0.0000006100	-21260.379043	-418.867565
0.0000006200	-20359.909331	-405.352513
0.0000006300	-19453.085445	-391.470385
0.0000006400	-18544.718115	-377.167314
0.0000006500	-17634.565263	-362.398277
0.0000006600	-16718.510011	-347.146087
0.0000006700	-15789.922185	-331.428320
0.0000006800	-14850.150948	-315.288654
0.0000006900	-13901.333374	-298.776351
0.0000007000	-12945.159390	-281.923214
0.0000007100	-11983.087631	-264.728761
0.0000007200	-11012.634097	-247.160651
0.0000007300	-10040.048114	-229.170419
0.0000007400	-9065.733659	-210.717421
0.0000007500	-8087.971513	-191.789992
0.0000007600	-7108.248068	-172.414093
0.0000007700	-6123.823365	-152.645490
0.0000007800	-5138.866707	-132.549343
0.0000007900	-4154.921535	-112.177047
0.0000008000	-3165.975977	-91.551711
0.0000008100	-2174.717568	-70.669753
0.0000008200	-1188.279142	-49.518684
0.0000008300	-199.276534	-28.103466
0.0000008400	795.192114	-6.469603
0.0000008500	1786.806703	15.287872
0.0000008600	2775.391456	37.034337
0.0000008700	3761.174572	58.621135
0.0000008800	4744.521485	79.916681
0.0000008900	5728.704109	100.830848
0.0000009000	6711.756519	121.323469
0.0000009100	7694.395700	141.394862
0.0000009200	8677.861339	161.063905
0.0000009300	9659.128227	180.344114
0.0000009400	10638.851672	199.228218
0.0000009500	11609.937384	217.687069
0.0000009600	12564.606469	235.681824
0.0000009700	13504.720007	253.182222
0.0000009800	14439.666634	270.181452
0.0000009900	15374.314132	286.700242
0.0000010000	16299.198308	302.778343
0.0000010100	17212.191341	318.457707
0.0000010200	18121.152302	333.765483
0.0000010300	19029.220503	348.704787
0.0000010400	19932.587445	363.257261
0.0000010500	20830.184593	377.395721
0.0000010600	21722.429800	391.100501
0.0000010700	22608.249903	404.371563
0.0000010800	23485.089973	417.230789
0.0000010900	24348.547879	429.713711
0.0000011000	25202.199293	441.855056
0.0000011100	26050.740846	453.675290
0.0000011200	26889.466654	465.174652
0.0000011300	27719.753635	476.337415
0.0000011400	28548.910403	487.144048
0.0000011500	29371.043809	497.585214
0.0000011600	30179.500549	507.670696
0.0000011700	30970.225421	517.428895
0.0000011800	31739.722936	526.897090
0.0000011900	32497.404862	536.107112
0.0000012000	33251.159565	545.073240
0.0000012100	33993.070922	553.788077
0.0000012200	34721.134462	562.228400
0.0000012300	35442.957928	570.368321
0.0000012400	36152.938048	578.193737
0.0000012500	36845.494681	585.711498
0.0000012600	37527.475413	592.949241
0.0000012700	38202.019555	599.946114
0.0000012800	38862.763677	606.738735
0.0000012900	39507.214527	613.348725
0.0000013000	40133.942761	619.777229
0.0000013100	40743.788717	626.008488
0.0000013200	41342.750391	632.020350
0.0000013300	41927.142637	637.796591
0.0000013400	42495.963222	643.335367
0.0000013500	43052.114002	648.650223
0.0000013600	43591.131172	653.763733
0.0000013700	44116.124750	658.697320
0.0000013800	44632.257020	663.462413
0.0000013900	45131.374406	668.057239
0.0000014000	45605.574665	672.470577
0.0000014100	46061.524979	676.690320
