Nombre del archivo	 Frecuencia (kHz)	 Campo maximo (kA/m)	 SAR (W/g)	 Coercitividad (kA/m)	 Magnetizacion remanente (kA/m)	 Pendiente de calibracion
267kHz_150dA_100Mss_T4.txt	 2.612799e+02	 5.188480e+01	 1.039412e+02	 5.906783e+00	 1.077124e-01	 -1.157300e+10
268kHz_150dA_100Mss_T4.txt	 2.611545e+02	 5.188480e+01	 9.995284e+01	 6.037797e+00	 1.084025e-01	 -1.157300e+10
269kHz_150dA_100Mss_T4.txt	 2.612030e+02	 5.188480e+01	 1.057765e+02	 5.825448e+00	 1.078831e-01	 -1.157300e+10
270kHz_150dA_100Mss_T4.txt	 2.610001e+02	 5.188480e+01	 9.877106e+01	 5.241692e+00	 1.054897e-01	 -1.157300e+10
271kHz_150dA_100Mss_T4.txt	 2.607756e+02	 5.188480e+01	 9.751601e+01	 5.432702e+00	 1.055266e-01	 -1.157300e+10
272kHz_150dA_100Mss_T4.txt	 2.607777e+02	 5.188480e+01	 1.020475e+02	 5.584486e+00	 1.076881e-01	 -1.157300e+10
