Tiempo (s)	 Campo (A/m)	 Magnetizacion (A/m)
0.000000e+00	-1.733164e+04	-1.200503e+02
1.000000e-08	-1.732551e+04	-1.195843e+02
2.000000e-08	-1.731405e+04	-1.194939e+02
3.000000e-08	-1.729862e+04	-1.200880e+02
4.000000e-08	-1.728063e+04	-1.206632e+02
5.000000e-08	-1.725931e+04	-1.203257e+02
6.000000e-08	-1.723166e+04	-1.192805e+02
7.000000e-08	-1.719516e+04	-1.188119e+02
8.000000e-08	-1.715059e+04	-1.197303e+02
9.000000e-08	-1.710182e+04	-1.211868e+02
1.000000e-07	-1.705252e+04	-1.215882e+02
1.100000e-07	-1.700297e+04	-1.207460e+02
1.200000e-07	-1.695034e+04	-1.205470e+02
1.300000e-07	-1.689174e+04	-1.229326e+02
1.400000e-07	-1.682675e+04	-1.273266e+02
1.500000e-07	-1.675685e+04	-1.307128e+02
1.600000e-07	-1.668303e+04	-1.306807e+02
1.700000e-07	-1.660464e+04	-1.281389e+02
1.800000e-07	-1.652063e+04	-1.264728e+02
1.900000e-07	-1.643132e+04	-1.278934e+02
2.000000e-07	-1.633827e+04	-1.310229e+02
2.100000e-07	-1.624251e+04	-1.324375e+02
2.200000e-07	-1.614331e+04	-1.304014e+02
2.300000e-07	-1.603913e+04	-1.266078e+02
2.400000e-07	-1.592953e+04	-1.241476e+02
2.500000e-07	-1.581572e+04	-1.242262e+02
2.600000e-07	-1.569916e+04	-1.253128e+02
2.700000e-07	-1.557998e+04	-1.253217e+02
2.800000e-07	-1.545705e+04	-1.239720e+02
2.900000e-07	-1.532929e+04	-1.226633e+02
3.000000e-07	-1.519662e+04	-1.224345e+02
3.100000e-07	-1.505956e+04	-1.227226e+02
3.200000e-07	-1.491817e+04	-1.223021e+02
3.300000e-07	-1.477201e+04	-1.209534e+02
3.400000e-07	-1.462068e+04	-1.196887e+02
3.500000e-07	-1.446438e+04	-1.193928e+02
3.600000e-07	-1.430344e+04	-1.197328e+02
3.700000e-07	-1.413785e+04	-1.196755e+02
3.800000e-07	-1.396745e+04	-1.188146e+02
3.900000e-07	-1.379265e+04	-1.177721e+02
4.000000e-07	-1.361450e+04	-1.172683e+02
4.100000e-07	-1.343379e+04	-1.171711e+02
4.200000e-07	-1.325017e+04	-1.167296e+02
4.300000e-07	-1.306248e+04	-1.155862e+02
4.400000e-07	-1.287003e+04	-1.142041e+02
4.500000e-07	-1.267336e+04	-1.132193e+02
4.600000e-07	-1.247355e+04	-1.126401e+02
4.700000e-07	-1.227094e+04	-1.119245e+02
4.800000e-07	-1.206480e+04	-1.107487e+02
4.900000e-07	-1.185444e+04	-1.094104e+02
5.000000e-07	-1.164037e+04	-1.083853e+02
5.100000e-07	-1.142413e+04	-1.076901e+02
5.200000e-07	-1.120692e+04	-1.068981e+02
5.300000e-07	-1.098842e+04	-1.057277e+02
5.400000e-07	-1.076711e+04	-1.043876e+02
5.500000e-07	-1.054173e+04	-1.032544e+02
5.600000e-07	-1.031222e+04	-1.023646e+02
5.700000e-07	-1.007957e+04	-1.014007e+02
5.800000e-07	-9.844785e+03	-1.001383e+02
