Tiempo (s)	 Campo (A/m)	 Magnetizacion (A/m)
0.000000e+00	-1.733108e+04	-2.976887e+02
1.000000e-08	-1.732312e+04	-2.978600e+02
2.000000e-08	-1.731090e+04	-2.978461e+02
3.000000e-08	-1.729634e+04	-2.979018e+02
4.000000e-08	-1.728062e+04	-2.981876e+02
5.000000e-08	-1.726215e+04	-2.985225e+02
6.000000e-08	-1.723710e+04	-2.985067e+02
7.000000e-08	-1.720268e+04	-2.979248e+02
8.000000e-08	-1.716008e+04	-2.969979e+02
9.000000e-08	-1.711363e+04	-2.961925e+02
1.000000e-07	-1.706667e+04	-2.957843e+02
1.100000e-07	-1.701827e+04	-2.956556e+02
1.200000e-07	-1.696459e+04	-2.955479e+02
1.300000e-07	-1.690310e+04	-2.954654e+02
1.400000e-07	-1.683525e+04	-2.957292e+02
1.500000e-07	-1.676447e+04	-2.965579e+02
1.600000e-07	-1.669226e+04	-2.976171e+02
1.700000e-07	-1.661676e+04	-2.981046e+02
1.800000e-07	-1.653520e+04	-2.974383e+02
1.900000e-07	-1.644724e+04	-2.959441e+02
2.000000e-07	-1.635507e+04	-2.948069e+02
2.100000e-07	-1.626056e+04	-2.951580e+02
2.200000e-07	-1.616305e+04	-2.970212e+02
2.300000e-07	-1.606040e+04	-2.990933e+02
2.400000e-07	-1.595174e+04	-2.996738e+02
2.500000e-07	-1.583864e+04	-2.980102e+02
2.600000e-07	-1.572328e+04	-2.948827e+02
2.700000e-07	-1.560606e+04	-2.918978e+02
2.800000e-07	-1.548538e+04	-2.901360e+02
2.900000e-07	-1.535941e+04	-2.893820e+02
3.000000e-07	-1.522763e+04	-2.885743e+02
3.100000e-07	-1.509048e+04	-2.869247e+02
3.200000e-07	-1.494810e+04	-2.845799e+02
3.300000e-07	-1.480017e+04	-2.822696e+02
3.400000e-07	-1.464689e+04	-2.804557e+02
3.500000e-07	-1.448948e+04	-2.789247e+02
3.600000e-07	-1.432914e+04	-2.771603e+02
3.700000e-07	-1.416573e+04	-2.749606e+02
3.800000e-07	-1.399790e+04	-2.725879e+02
3.900000e-07	-1.382486e+04	-2.703712e+02
4.000000e-07	-1.364766e+04	-2.683087e+02
