Unit:(mV)
                     CH1         CH2
Frequency              ? 300.124 kHz
00001              11.40    -4800.00
00002              25.00    -7200.00
00003             -25.00    -8000.00
00004             -25.00    -8000.00
00005              22.00    -9600.00
00006               3.60    -8800.00
00007             -25.00    -9600.00
00008               7.80    -8800.00
00009              25.00   -10400.00
00010             -25.00   -10400.00
00011             -18.60   -11200.00
00012              25.00   -12800.00
00013             -25.00   -12000.00
00014               9.80   -12800.00
00015              25.00   -13600.00
00016             -25.00   -13600.00
00017              25.00   -14400.00
00018             -25.00   -14400.00
00019              -6.20   -16000.00
00020              25.00   -16000.00
00021             -25.00   -16800.00
00022               1.40   -17600.00
00023              25.00   -17600.00
00024             -25.00   -17600.00
00025             -16.20   -18400.00
00026              25.00   -20000.00
00027             -25.00   -20000.00
00028              -8.20   -20000.00
00029              25.00   -20800.00
00030             -25.00   -21600.00
00031               5.80   -22400.00
00032              16.40   -22400.00
00033             -22.80   -22400.00
00034               7.80   -23200.00
00035              10.80   -23200.00
00036             -15.40   -24000.00
00037               8.40   -24800.00
00038               7.60   -24800.00
00039             -15.20   -24000.00
00040              11.40   -25600.00
00041               1.00   -26400.00
00042              -9.00   -25600.00
00043               9.80   -26400.00
00044              -2.60   -27200.00
00045              -3.00   -27200.00
00046               5.80   -27200.00
00047              -1.00   -28000.00
00048              -0.60   -28000.00
00049               4.20   -28800.00
00050              -1.80   -28800.00
00051              -2.60   -28800.00
00052               3.80   -29600.00
00053              -2.20   -29600.00
00054              -1.00   -29600.00
00055               4.40   -29600.00
00056              -1.40   -30400.00
00057               0.60   -30400.00
00058               2.00   -31200.00
00059              -1.00   -31200.00
00060               0.40   -31200.00
00061               0.40   -32000.00
00062               0.40   -32000.00
00063               0.60   -32000.00
00064               0.20   -32000.00
00065               0.60   -32000.00
00066              -0.40   -32000.00
00067               0.60   -32000.00
00068               0.40   -32000.00
00069               0.20   -32800.00
00070               1.00   -32800.00
00071              -0.20   -32000.00
00072               1.20   -32000.00
00073               0.20   -32800.00
00074               0.20   -32800.00
00075               1.00   -32800.00
00076              -0.20   -32800.00
00077               1.00   -32000.00
00078               0.00   -32000.00
00079              -0.20   -32800.00
00080               2.00   -32800.00
00081               0.20   -32800.00
00082               0.40   -32000.00
00083               1.00   -32000.00
00084               0.40   -32000.00
00085               0.40   -32000.00
00086               0.40   -32000.00
00087               0.20   -32000.00
00088               0.40   -31200.00
00089               1.00   -30400.00
00090               0.40   -31200.00
00091               0.60   -30400.00
00092               1.20   -31200.00
00093               0.20   -30400.00
00094               1.00   -29600.00
00095               0.60   -29600.00
00096               0.20   -29600.00
00097               1.00   -29600.00
00098               0.60   -28800.00
00099               0.40   -29600.00
00100               0.60   -28800.00
00101               0.80   -28800.00
00102              -0.40   -27200.00
00103               0.80   -28000.00
00104               0.60   -27200.00
00105              -0.40   -27200.00
00106               1.20   -27200.00
00107               0.20   -26400.00
00108               0.20   -25600.00
00109               1.40   -25600.00
00110               0.20   -25600.00
00111               0.60   -24800.00
00112               1.00   -24800.00
00113               0.00   -24000.00
00114               0.60   -23200.00
00115               0.40   -23200.00
00116              -0.20   -23200.00
00117               0.40   -22400.00
00118               0.20   -22400.00
00119              -0.20   -21600.00
00120               1.00   -21600.00
00121               0.00   -20000.00
00122               0.20   -20000.00
00123               0.60   -19200.00
00124               0.20   -18400.00
00125               0.40   -18400.00
00126               0.60   -18400.00
00127               0.20   -17600.00
00128               0.20   -16800.00
00129               0.20   -16000.00
00130              -0.60   -16000.00
00131              -0.20   -16000.00
00132               0.20   -14400.00
00133              -0.40   -14400.00
00134               0.60   -14400.00
00135               0.20   -13600.00
00136              -0.40   -12800.00
00137               0.80   -12800.00
00138              -0.60   -11200.00
00139               0.20   -11200.00
00140               0.60   -11200.00
00141              -1.40    -9600.00
00142               0.40    -9600.00
00143               0.20    -8000.00
00144              -1.20    -8000.00
00145               0.80    -7200.00
00146              -0.40    -7200.00
00147              -1.00    -6400.00
00148               0.60    -6400.00
00149               0.40    -4800.00
00150              -0.60    -4000.00
00151               0.20    -4000.00
00152               0.40    -3200.00
00153              -0.40    -3200.00
00154               0.40    -2400.00
00155              -0.40    -1600.00
00156              -0.60     -800.00
00157               0.80        0.00
00158              -0.60        0.00
00159              -0.20      800.00
00160               2.40     1600.00
00161               2.60     2400.00
00162              -3.00     2400.00
00163               1.40     3200.00
00164               1.40     3200.00
00165              -1.40     4800.00
00166               1.40     4800.00
00167              11.40     5600.00
00168              25.00     7200.00
00169             -25.00     8000.00
00170             -25.00     8000.00
00171              25.00     8000.00
00172              -2.20     8800.00
00173             -25.00     8800.00
00174              25.00     9600.00
00175              25.00    10400.00
00176             -25.00    11200.00
00177              25.00    11200.00
00178              -2.00    12000.00
00179             -25.00    12000.00
00180              25.00    12800.00
00181             -25.00    13600.00
00182              25.00    14400.00
00183              25.00    14400.00
00184             -25.00    16000.00
00185              25.00    16000.00
00186             -12.40    16000.00
00187             -25.00    16800.00
00188              25.00    17600.00
00189              -9.20    18400.00
00190             -25.00    18400.00
00191              25.00    19200.00
00192              10.00    19200.00
00193             -25.00    19200.00
00194              25.00    20800.00
00195              -7.60    20800.00
00196             -24.40    22400.00
00197              25.00    22400.00
00198             -25.00    22400.00
00199              -2.20    22400.00
00200              18.00    23200.00
00201             -16.00    24000.00
00202              -0.40    24800.00
00203              16.40    24800.00
00204             -17.20    24800.00
00205               1.80    24800.00
00206              10.20    25600.00
00207             -16.60    26400.00
00208               9.00    26400.00
00209              -0.20    27200.00
00210              -8.00    27200.00
00211               5.40    27200.00
00212              -3.20    28000.00
00213              -2.80    28000.00
00214               2.60    28800.00
00215              -0.20    28800.00
00216              -3.60    28800.00
00217               0.40    29600.00
00218               0.40    30400.00
00219              -5.00    30400.00
00220               2.60    30400.00
00221              -1.20    30400.00
00222              -2.20    31200.00
00223               2.00    31200.00
00224              -3.80    31200.00
00225              -0.20    31200.00
00226              -0.60    32000.00
00227              -2.40    32000.00
00228               1.00    32000.00
00229              -0.60    32800.00
00230              -1.00    32800.00
00231              -1.20    32000.00
00232              -0.20    32800.00
00233              -0.60    32800.00
00234              -2.20    32000.00
00235               0.40    32800.00
00236              -1.80    32800.00
00237              -1.20    32800.00
00238               0.20    33600.00
00239              -2.60    33600.00
00240               0.40    32800.00
00241              -2.00    32800.00
00242              -1.20    33600.00
00243               0.60    32800.00
00244              -2.80    33600.00
00245              -0.60    32800.00
00246              -0.60    32800.00
00247              -1.20    32800.00
00248              -1.20    32800.00
00249              -1.60    32000.00
00250              -1.00    32800.00
00251              -1.40    32000.00
00252              -0.60    32000.00
00253              -1.00    32800.00
00254              -2.00    32000.00
00255              -0.60    31200.00
00256              -1.00    31200.00
00257              -1.60    31200.00
00258              -1.20    32000.00
00259              -1.20    31200.00
00260              -0.80    31200.00
00261              -0.60    30400.00
00262              -1.20    30400.00
00263              -1.40    30400.00
00264              -0.80    29600.00
00265              -1.20    28800.00
00266              -2.20    28800.00
00267              -1.20    29600.00
00268              -1.00    28000.00
00269              -1.40    28000.00
00270              -0.60    28000.00
00271              -1.20    27200.00
00272              -1.00    27200.00
00273              -0.60    27200.00
00274              -1.80    26400.00
00275              -0.60    26400.00
00276              -1.40    25600.00
00277              -1.20    25600.00
00278              -0.40    24800.00
00279              -1.20    24800.00
00280              -1.00    24800.00
00281              -1.20    24000.00
00282              -1.80    24000.00
00283              -1.00    23200.00
00284              -1.00    23200.00
00285              -0.80    22400.00
00286              -1.20    21600.00
00287              -0.60    20800.00
00288              -1.00    20800.00
00289              -1.20    20000.00
00290              -1.40    20000.00
00291              -1.20    19200.00
00292              -0.60    18400.00
00293              -0.60    18400.00
00294              -0.60    17600.00
00295              -0.60    17600.00
00296              -1.20    16800.00
00297              -0.60    16000.00
00298              -0.40    16000.00
00299              -1.80    15200.00
00300              -0.60    14400.00
00301              -0.60    14400.00
00302              -1.40    12800.00
00303              -1.20    12800.00
00304              -0.40    12000.00
00305              -1.60    12000.00
00306              -0.40    11200.00
00307              -0.60    11200.00
00308              -1.20    10400.00
00309              -0.60     9600.00
00310              -0.20     8800.00
00311              -1.20     8000.00
00312              -0.40     8000.00
00313              -1.20     7200.00
00314              -0.40     6400.00
00315              -1.20     5600.00
00316              -1.00     5600.00
00317              -0.60     4800.00
00318              -1.80     4000.00
00319              -1.20     3200.00
00320              -0.20     2400.00
00321              -1.20     2400.00
00322              -1.00     1600.00
00323               0.40      800.00
00324              -0.60        0.00
00325              -0.40        0.00
00326               0.60     -800.00
00327               3.00    -1600.00
00328              -1.20    -1600.00
00329              -1.20    -1600.00
00330               1.80    -3200.00
00331              -0.20    -3200.00
00332              -1.20    -4000.00
00333               1.80    -4000.00
00334               8.40    -4800.00
00335              25.00    -6400.00
00336             -12.40    -6400.00
00337             -25.00    -8000.00
00338              15.00    -8000.00
00339              14.20    -8800.00
00340             -25.00    -9600.00
00341              -6.80    -8800.00
00342              25.00   -10400.00
00343             -18.20   -10400.00
00344             -25.00   -10400.00
00345              25.00   -12000.00
00346             -25.00   -12000.00
00347             -19.80   -12800.00
00348              25.00   -13600.00
00349             -25.00   -14400.00
00350              25.00   -14400.00
00351              -5.80   -14400.00
00352             -25.00   -16000.00
00353              25.00   -16000.00
00354             -25.00   -16800.00
00355             -14.20   -17600.00
00356              25.00   -17600.00
00357             -17.80   -18400.00
00358             -25.00   -19200.00
00359              25.00   -18400.00
00360             -11.20   -19200.00
00361             -23.40   -20000.00
00362              25.00   -20000.00
00363             -18.20   -20800.00
00364              -7.00   -21600.00
00365              23.80   -22400.00
00366             -20.60   -22400.00
00367               0.60   -22400.00
00368              15.20   -23200.00
00369             -13.40   -24000.00
00370               2.00   -24000.00
00371              13.40   -24800.00
00372             -15.40   -24800.00
00373               5.80   -25600.00
00374               7.80   -26400.00
00375             -11.60   -26400.00
00376               8.20   -26400.00
00377               0.80   -27200.00
00378              -5.40   -27200.00
00379               4.20   -27200.00
00380               0.40   -28000.00
00381              -2.00   -28800.00
00382               3.40   -28800.00
00383               0.40   -28800.00
00384              -3.40   -29600.00
00385               3.80   -29600.00
00386              -1.00   -29600.00
00387              -1.80   -29600.00
00388               4.20   -29600.00
00389              -1.00   -30400.00
00390              -0.20   -30400.00
00391               2.60   -30400.00
00392              -1.40   -31200.00
00393               0.40   -31200.00
00394               0.60   -32000.00
00395               0.20   -32000.00
00396               1.20   -32000.00
00397              -0.40   -32000.00
00398               0.20   -32000.00
00399               0.80   -32000.00
00400               0.40   -32000.00
00401               0.20   -32800.00
00402               0.80   -32000.00
00403               0.60   -32800.00
00404              -0.40   -32000.00
00405               1.40   -32000.00
00406              -0.20   -32800.00
00407               0.20   -32800.00
00408               2.00   -32800.00
00409              -0.60   -32800.00
00410               0.60   -32000.00
00411               1.00   -32800.00
00412              -0.80   -32800.00
00413               1.80   -32000.00
00414               0.40   -32000.00
00415               0.20   -32800.00
00416               1.40   -32000.00
00417               0.60   -32000.00
00418               0.60   -32000.00
00419               1.00   -32000.00
00420               0.40   -31200.00
00421               0.20   -32000.00
00422               1.00   -31200.00
00423               0.00   -30400.00
00424               0.00   -30400.00
00425               1.20   -30400.00
00426              -0.20   -30400.00
00427               0.60   -30400.00
00428               1.40   -30400.00
00429              -0.20   -29600.00
00430               0.80   -28800.00
00431               1.40   -29600.00
00432               0.20   -28800.00
00433               1.00   -28800.00
00434               0.40   -28800.00
00435              -0.40   -28000.00
00436               0.80   -27200.00
00437               0.40   -27200.00
00438              -0.60   -27200.00
00439               1.40   -26400.00
00440               0.40   -26400.00
00441              -0.60   -25600.00
00442               1.00   -25600.00
00443              -0.40   -25600.00
00444               0.60   -24800.00
00445               1.80   -24000.00
00446              -2.20   -24000.00
00447               2.00   -23200.00
00448               1.60   -23200.00
00449              -3.60   -23200.00
00450               2.80   -22400.00
00451               0.60   -22400.00
00452              -3.00   -20800.00
00453               3.60   -21600.00
00454              -0.60   -20800.00
00455              -2.00   -20000.00
00456               2.60   -19200.00
00457              -1.20   -19200.00
00458              -0.40   -18400.00
00459               2.20   -17600.00
00460              -1.40   -17600.00
00461               0.60   -16800.00
00462               1.20   -16800.00
00463              -2.60   -16000.00
00464               2.00   -16000.00
00465               0.40   -15200.00
00466              -2.60   -14400.00
00467               2.60   -13600.00
00468              -0.40   -13600.00
00469              -2.00   -12800.00
00470               2.80   -12800.00
00471              -0.60   -11200.00
00472              -1.40   -11200.00
00473               2.00   -10400.00
00474              -1.80    -9600.00
00475              -1.20    -9600.00
00476               2.00    -9600.00
00477              -0.40    -8000.00
00478              -0.20    -7200.00
00479               0.60    -7200.00
00480              -1.20    -6400.00
00481               1.00    -5600.00
00482              -1.00    -5600.00
00483              -0.40    -4800.00
00484               2.00    -4000.00
00485              -1.40    -3200.00
00486              -0.20    -2400.00
00487               1.80    -1600.00
00488              -2.20    -1600.00
00489              -0.20     -800.00
00490               1.40     -800.00
00491              -2.20        0.00
00492               0.60      800.00
00493               2.00     1600.00
00494               3.20     1600.00
00495              -1.80     2400.00
00496              -0.40     3200.00
00497               2.20     3200.00
00498               0.00     4000.00
00499              -1.80     4800.00
00500               8.60     5600.00
00501              25.00     7200.00
00502             -14.80     7200.00
00503             -25.00     8000.00
00504              21.80     8000.00
00505               9.40     8800.00
00506             -25.00     8800.00
00507              25.00     9600.00
00508              25.00    10400.00
00509             -25.00    11200.00
00510              25.00    12000.00
00511              25.00    12000.00
00512             -25.00    12800.00
00513              25.00    12800.00
00514             -25.00    12800.00
00515               1.00    14400.00
00516              25.00    14400.00
00517             -25.00    15200.00
00518              25.00    16000.00
00519              25.00    16000.00
00520             -25.00    16800.00
00521              25.00    17600.00
00522              10.20    18400.00
00523             -25.00    18400.00
00524              19.40    18400.00
00525              25.00    19200.00
00526             -25.00    19200.00
00527              25.00    20800.00
00528              13.80    21600.00
00529             -25.00    21600.00
00530              25.00    22400.00
00531             -18.00    22400.00
00532             -13.40    22400.00
00533              21.20    24000.00
00534             -11.80    24000.00
00535              -7.40    24800.00
00536              18.00    24800.00
00537             -11.00    24800.00
00538              -5.80    25600.00
00539              14.80    25600.00
00540             -15.60    26400.00
00541               4.20    27200.00
00542               4.60    27200.00
00543             -10.00    27200.00
00544               5.20    28000.00
00545              -1.40    28000.00
00546              -4.60    28000.00
00547               2.60    28800.00
00548               0.80    28800.00
00549              -3.80    28800.00
00550              -0.20    28800.00
00551               1.60    30400.00
00552              -4.60    29600.00
00553               2.20    30400.00
00554               0.60    30400.00
00555              -3.40    31200.00
00556               2.00    30400.00
00557              -2.60    30400.00
00558              -1.00    32000.00
00559              -0.60    31200.00
00560              -2.60    32000.00
00561               1.00    32000.00
00562              -1.20    32000.00
00563              -1.00    32800.00
00564              -0.60    32800.00
00565              -1.80    32000.00
00566              -0.60    32800.00
00567              -1.40    32800.00
00568              -0.40    32800.00
00569              -0.40    32800.00
00570              -2.60    32800.00
00571               0.40    32800.00
00572              -2.00    32800.00
00573              -1.60    32000.00
00574              -0.60    32800.00
00575              -1.00    32800.00
00576              -0.20    32800.00
00577              -2.20    32000.00
00578              -0.40    32800.00
00579              -1.20    32800.00
00580              -2.40    32800.00
00581               0.20    32800.00
00582              -2.00    32800.00
00583              -1.20    32800.00
00584              -0.40    32800.00
00585              -1.80    32000.00
00586              -1.20    32800.00
00587              -0.60    32000.00
00588              -1.20    32000.00
00589              -1.20    32000.00
00590              -0.60    31200.00
00591              -1.20    31200.00
00592              -1.40    32000.00
00593              -0.60    31200.00
00594              -1.40    30400.00
00595              -2.00    30400.00
00596              -1.00    31200.00
00597              -1.00    29600.00
00598              -1.20    30400.00
00599              -1.20    28800.00
00600              -0.80    28800.00
00601              -1.40    28800.00
00602              -1.00    28800.00
00603              -0.20    28000.00
00604              -2.00    27200.00
00605              -0.40    27200.00
00606              -0.40    27200.00
00607              -2.80    26400.00
00608               0.00    26400.00
00609              -2.00    26400.00
00610              -1.80    25600.00
00611               1.00    25600.00
00612              -3.20    24800.00
00613               0.40    24800.00
00614               0.40    24000.00
00615              -3.80    24000.00
00616               1.00    23200.00
00617              -0.40    22400.00
00618              -3.40    22400.00
00619               1.40    22400.00
00620              -1.40    21600.00
00621              -2.20    20800.00
00622               1.20    20000.00
00623              -2.60    20000.00
00624              -2.20    19200.00
00625               1.00    18400.00
00626              -2.20    18400.00
00627              -1.00    17600.00
00628               0.20    17600.00
00629              -2.00    17600.00
00630              -0.60    16000.00
00631               0.60    16000.00
00632              -1.80    15200.00
00633              -0.60    14400.00
00634              -0.20    13600.00
00635              -1.40    12800.00
00636              -1.60    12800.00
00637              -0.80    12800.00
00638              -1.80    12000.00
00639              -0.40    11200.00
00640              -0.60    11200.00
00641              -1.40    10400.00
00642              -0.60     8800.00
00643              -0.20     8800.00
00644              -1.20     8000.00
00645              -0.60     8000.00
00646              -0.40     7200.00
00647              -1.00     6400.00
00648              -0.80     6400.00
00649              -1.00     4800.00
