Tiempo (s)	 Campo (A/m)	 Magnetizacion (A/m)
0.000000e+00	-5.181845e+04	3.954967e+02
1.000000e-08	-5.180436e+04	3.952769e+02
2.000000e-08	-5.177701e+04	3.936215e+02
3.000000e-08	-5.173401e+04	3.928094e+02
4.000000e-08	-5.167435e+04	3.942945e+02
5.000000e-08	-5.160074e+04	3.961459e+02
6.000000e-08	-5.151758e+04	3.949665e+02
7.000000e-08	-5.142595e+04	3.905613e+02
8.000000e-08	-5.132101e+04	3.873215e+02
9.000000e-08	-5.119568e+04	3.896040e+02
1.000000e-07	-5.104744e+04	3.959970e+02
1.100000e-07	-5.088102e+04	3.997029e+02
1.200000e-07	-5.070420e+04	3.955243e+02
1.300000e-07	-5.052125e+04	3.857817e+02
1.400000e-07	-5.033067e+04	3.781354e+02
1.500000e-07	-5.012874e+04	3.775749e+02
1.600000e-07	-4.991373e+04	3.817382e+02
1.700000e-07	-4.968609e+04	3.847046e+02
1.800000e-07	-4.944544e+04	3.842213e+02
1.900000e-07	-4.918950e+04	3.834480e+02
2.000000e-07	-4.891664e+04	3.854450e+02
2.100000e-07	-4.862862e+04	3.878184e+02
2.200000e-07	-4.832927e+04	3.846915e+02
2.300000e-07	-4.802011e+04	3.738520e+02
2.400000e-07	-4.769829e+04	3.602437e+02
2.500000e-07	-4.735961e+04	3.512757e+02
2.600000e-07	-4.700344e+04	3.493297e+02
2.700000e-07	-4.663358e+04	3.500986e+02
2.800000e-07	-4.625410e+04	3.482244e+02
2.900000e-07	-4.586492e+04	3.431643e+02
3.000000e-07	-4.546223e+04	3.386291e+02
3.100000e-07	-4.504309e+04	3.371696e+02
3.200000e-07	-4.460877e+04	3.370200e+02
3.300000e-07	-4.416327e+04	3.347244e+02
3.400000e-07	-4.370903e+04	3.296031e+02
3.500000e-07	-4.324491e+04	3.243003e+02
3.600000e-07	-4.276819e+04	3.211600e+02
3.700000e-07	-4.227790e+04	3.194127e+02
3.800000e-07	-4.177551e+04	3.165903e+02
3.900000e-07	-4.126295e+04	3.118729e+02
4.000000e-07	-4.074043e+04	3.068815e+02
4.100000e-07	-4.020664e+04	3.032149e+02
4.200000e-07	-3.966033e+04	3.003319e+02
4.300000e-07	-3.910140e+04	2.965456e+02
4.400000e-07	-3.853065e+04	2.914846e+02
4.500000e-07	-3.794918e+04	2.865274e+02
4.600000e-07	-3.735825e+04	2.827368e+02
4.700000e-07	-3.675928e+04	2.793079e+02
4.800000e-07	-3.615310e+04	2.747193e+02
4.900000e-07	-3.553910e+04	2.689362e+02
5.000000e-07	-3.491535e+04	2.635421e+02
5.100000e-07	-3.428016e+04	2.595669e+02
5.200000e-07	-3.363357e+04	2.559995e+02
5.300000e-07	-3.297727e+04	2.510794e+02
5.400000e-07	-3.231297e+04	2.446731e+02
5.500000e-07	-3.164091e+04	2.385295e+02
5.600000e-07	-3.095993e+04	2.340301e+02
5.700000e-07	-3.026885e+04	2.304007e+02
5.800000e-07	-2.956788e+04	2.257343e+02
5.900000e-07	-2.885869e+04	2.194451e+02
6.000000e-07	-2.814345e+04	2.129330e+02
6.100000e-07	-2.742338e+04	2.076720e+02
6.200000e-07	-2.669803e+04	2.033258e+02
6.300000e-07	-2.596548e+04	1.983385e+02
6.400000e-07	-2.522375e+04	1.920807e+02
