Tiempo_(s)	Campo_(A/m)	Magnetizacion_(A/m)
0.0000000000	-51808.924268	-183.349669
0.0000000100	-51798.072601	-183.289599
0.0000000200	-51772.151913	-183.287462
0.0000000300	-51730.676981	-183.335871
0.0000000400	-51675.743512	-183.396277
0.0000000500	-51609.270288	-183.411996
0.0000000600	-51531.563955	-183.329466
0.0000000700	-51439.357998	-183.120529
0.0000000800	-51332.165542	-182.797580
0.0000000900	-51206.504524	-182.415387
0.0000001000	-51059.195901	-182.057742
0.0000001100	-50901.049944	-181.812392
0.0000001200	-50736.399670	-181.742042
0.0000001300	-50561.021648	-181.861107
0.0000001400	-50373.061133	-182.126454
0.0000001500	-50164.502680	-182.446002
0.0000001600	-49943.241916	-182.703210
0.0000001700	-49720.646949	-182.790074
0.0000001800	-49481.692660	-182.638210
0.0000001900	-49225.578596	-182.238024
0.0000002000	-48958.003997	-181.639744
0.0000002100	-48673.719527	-180.936004
0.0000002200	-48380.661411	-180.231710
0.0000002300	-48080.497563	-179.611053
0.0000002400	-47762.532255	-179.112317
0.0000002500	-47425.712517	-178.718391
0.0000002600	-47073.874263	-178.365535
0.0000002700	-46706.154980	-177.966835
0.0000002800	-46325.159037	-177.442049
0.0000002900	-45936.508103	-176.743727
0.0000003000	-45536.639245	-175.871122
0.0000003100	-45126.337405	-174.867880
0.0000003200	-44705.742538	-173.805138
0.0000003300	-44267.576939	-172.756535
0.0000003400	-43820.314212	-171.774017
0.0000003500	-43364.155045	-170.872616
0.0000003600	-42894.832106	-170.028806
0.0000003700	-42416.048283	-169.192115
0.0000003800	-41921.007795	-168.305064
0.0000003900	-41411.145852	-167.323894
0.0000004000	-40891.336150	-166.232742
0.0000004100	-40361.627542	-165.046650
0.0000004200	-39820.525737	-163.803106
0.0000004300	-39273.411441	-162.545900
0.0000004400	-38717.938084	-161.307659
0.0000004500	-38146.015952	-160.097543
0.0000004600	-37564.846833	-158.898342
0.0000004700	-36974.932784	-157.673558
0.0000004800	-36376.956089	-156.381393
0.0000004900	-35769.078837	-154.990164
0.0000005000	-35145.256521	-153.489422
0.0000005100	-34510.089860	-151.892894
0.0000005200	-33867.268208	-150.232543
0.0000005300	-33215.325989	-148.546290
