Tiempo_(s)	Campo_(A/m)	Magnetizacion_(A/m)
0.0000000000	-51714.456131	-260.357434
0.0000000100	-51693.252158	-260.351545
0.0000000200	-51658.025812	-260.301598
0.0000000300	-51614.261301	-260.215631
0.0000000400	-51560.586620	-260.100857
0.0000000500	-51493.768525	-259.961357
0.0000000600	-51412.573363	-259.797049
0.0000000700	-51316.913432	-259.604304
0.0000000800	-51205.907827	-259.377910
0.0000000900	-51071.780432	-259.113553
0.0000001000	-50919.762068	-258.809694
0.0000001100	-50759.778518	-258.468010
0.0000001200	-50591.054132	-258.092111
0.0000001300	-50412.575482	-257.685032
0.0000001400	-50217.004960	-257.246548
0.0000001500	-50002.198731	-256.771569
0.0000001600	-49783.108781	-256.250489
0.0000001700	-49556.698778	-255.671665
0.0000001800	-49308.731950	-255.025273
0.0000001900	-49045.514923	-254.307187
0.0000002000	-48768.226813	-253.521336
0.0000002100	-48476.257593	-252.679478
0.0000002200	-48178.262342	-251.798202
0.0000002300	-47870.308210	-250.894022
0.0000002400	-47543.636810	-249.978199
0.0000002500	-47201.163673	-249.053115
0.0000002600	-46846.030455	-248.111541
0.0000002700	-46473.086198	-247.139122
0.0000002800	-46090.769638	-246.119262
0.0000002900	-45701.647512	-245.038657
0.0000003000	-45296.760700	-243.891521
0.0000003100	-44884.986448	-242.680966
0.0000003200	-44457.991274	-241.417091
0.0000003300	-44012.927786	-240.112546
0.0000003400	-43562.914069	-238.777302
0.0000003500	-43100.918502	-237.414641
0.0000003600	-42627.477011	-236.019915
0.0000003700	-42141.264354	-234.582554
0.0000003800	-41640.103595	-233.090508
0.0000003900	-41125.051044	-231.535367
0.0000004000	-40600.382582	-229.916094
0.0000004100	-40067.476112	-228.239834
0.0000004200	-39519.290231	-226.519382
0.0000004300	-38962.963759	-224.768234
0.0000004400	-38395.910531	-222.995113
0.0000004500	-37817.832334	-221.200131
0.0000004600	-37233.170740	-219.374184
0.0000004700	-36634.592026	-217.501929
0.0000004800	-36025.471675	-215.567333
0.0000004900	-35409.019547	-213.559702
0.0000005000	-34781.953689	-211.477876
0.0000005100	-34145.381063	-209.330893
0.0000005200	-33501.630622	-207.134722
0.0000005300	-32846.075678	-204.906192
0.0000005400	-32180.575456	-202.656325
0.0000005500	-31508.665296	-200.385585
0.0000005600	-30826.583803	-198.082901
0.0000005700	-30137.065277	-195.728945
0.0000005800	-29441.205018	-193.302538
0.0000005900	-28739.755293	-190.787901
0.0000006000	-28033.614560	-188.180073
0.0000006100	-27316.791892	-185.486487
0.0000006200	-26590.372811	-182.724093
0.0000006300	-25859.972108	-179.913064
0.0000006400	-25120.781860	-177.069380
0.0000006500	-24371.289697	-174.199026
0.0000006600	-23616.475060	-171.295899
0.0000006700	-22857.542391	-168.344165
0.0000006800	-22093.082631	-165.324112
0.0000006900	-21321.620461	-162.219275
0.0000007000	-20541.924169	-159.022112
0.0000007100	-19753.839792	-155.736119
0.0000007200	-18960.364734	-152.373612
0.0000007300	-18163.258862	-148.950078
0.0000007400	-17361.923873	-145.477275
0.0000007500	-16554.247152	-141.957755
0.0000007600	-15737.697070	-138.382904
0.0000007700	-14916.857439	-134.735267
0.0000007800	-14093.838931	-130.994241
0.0000007900	-13267.142842	-127.142974
0.0000008000	-12437.453233	-123.173822
0.0000008100	-11603.799556	-119.090264
0.0000008200	-10765.589338	-114.904561
0.0000008300	-9924.342721	-110.632040
0.0000008400	-9082.039796	-106.284192
0.0000008500	-8238.107587	-101.863187
0.0000008600	-7393.580963	-97.359857
0.0000008700	-6548.415100	-92.755810
0.0000008800	-5699.682741	-88.028711
0.0000008900	-4850.270207	-83.158511
0.0000009000	-4003.169075	-78.131986
0.0000009100	-3154.325632	-72.943605
0.0000009200	-2302.334705	-67.592163
0.0000009300	-1450.258020	-62.074371
0.0000009400	-598.929714	-56.377896
0.0000009500	251.650212	-50.476788
0.0000009600	1103.111042	-44.331598
0.0000009700	1954.020335	-37.894935
0.0000009800	2805.019273	-31.121342
0.0000009900	3655.378973	-23.978831
0.0000010000	4503.427271	-16.458756
0.0000010100	5351.122819	-8.581108
0.0000010200	6197.077998	-0.393788
0.0000010300	7041.207050	8.033799
0.0000010400	7884.763126	16.620750
0.0000010500	8728.077536	25.285320
0.0000010600	9569.741222	33.953323
0.0000010700	10410.282338	42.562466
0.0000010800	11247.980013	51.062320
0.0000010900	12081.583038	59.411125
0.0000011000	12911.621511	67.571562
0.0000011100	13736.616225	75.507633
0.0000011200	14558.773326	83.184066
0.0000011300	15379.809800	90.568415
0.0000011400	16198.045712	97.634885
0.0000011500	17013.110758	104.368144
0.0000011600	17820.888848	110.765495
0.0000011700	18621.226019	116.836376
0.0000011800	19416.324531	122.599277
0.0000011900	20204.420633	128.077082
0.0000012000	20988.864480	133.292410
0.0000012100	21767.888435	138.264413
0.0000012200	22534.536854	143.007820
0.0000012300	23292.693874	147.534127
0.0000012400	24048.099041	151.853981
0.0000012500	24797.953735	155.979476
0.0000012600	25539.685391	159.925223
0.0000012700	26273.843605	163.707717
0.0000012800	27002.455231	167.343324
0.0000012900	27722.918494	170.845865
0.0000013000	28433.494969	174.224939
0.0000013100	29136.303100	177.485850
0.0000013200	29832.638917	180.631277
0.0000013300	30522.173054	183.664074
0.0000013400	31204.661901	186.590040
0.0000013500	31879.729325	189.419448
