Tiempo_(s)	Campo_(A/m)	Magnetizacion_(A/m)
0.0000000000	-51688.518930	-1265.272805
0.0000000100	-51675.895554	-1265.110175
0.0000000200	-51652.879312	-1264.807229
0.0000000300	-51621.739537	-1264.377057
0.0000000400	-51581.167615	-1263.834289
0.0000000500	-51529.208117	-1263.194848
0.0000000600	-51464.122181	-1262.475659
0.0000000700	-51387.338796	-1261.694334
0.0000000800	-51298.161033	-1260.868837
0.0000000900	-51196.975948	-1260.017123
0.0000001000	-51083.005400	-1259.156779
0.0000001100	-50957.503858	-1258.304651
0.0000001200	-50820.467295	-1257.476478
0.0000001300	-50674.067708	-1256.686543
0.0000001400	-50523.625935	-1255.947332
0.0000001500	-50362.308047	-1255.269227
0.0000001600	-50188.746117	-1254.660222
0.0000001700	-50007.850886	-1254.125683
0.0000001800	-49812.582807	-1253.668143
0.0000001900	-49605.821757	-1253.287153
0.0000002000	-49394.298551	-1252.979170
0.0000002100	-49168.371396	-1252.737511
0.0000002200	-48931.098716	-1252.552355
0.0000002300	-48686.245065	-1252.410800
0.0000002400	-48425.419089	-1252.296977
0.0000002500	-48153.193447	-1252.192219
0.0000002600	-47871.818460	-1252.075278
0.0000002700	-47577.317035	-1251.922596
0.0000002800	-47271.815089	-1251.708612
0.0000002900	-46957.070495	-1251.406115
0.0000003000	-46632.858623	-1250.986627
0.0000003100	-46297.956103	-1250.420813
0.0000003200	-45953.981421	-1249.678908
0.0000003300	-45599.455476	-1248.731158
0.0000003400	-45231.443110	-1247.548263
0.0000003500	-44853.092020	-1246.101816
0.0000003600	-44468.963913	-1244.364729
0.0000003700	-44074.292604	-1242.311639
0.0000003800	-43665.460985	-1239.919280
0.0000003900	-43247.162088	-1237.166828
0.0000004000	-42818.815329	-1234.036196
0.0000004100	-42379.378776	-1230.512281
0.0000004200	-41933.766061	-1226.583157
0.0000004300	-41482.910830	-1222.240212
0.0000004400	-41022.147124	-1217.478221
0.0000004500	-40551.947240	-1212.295347
0.0000004600	-40071.106821	-1206.693092
0.0000004700	-39580.911439	-1200.676167
0.0000004800	-39083.901138	-1194.252303
0.0000004900	-38580.722733	-1187.432003
0.0000005000	-38070.710399	-1180.228232
0.0000005100	-37549.693514	-1172.656050
0.0000005200	-37020.270295	-1164.732201
0.0000005300	-36484.175572	-1156.474660
0.0000005400	-35939.256357	-1147.902139
0.0000005500	-35388.052696	-1139.033581
0.0000005600	-34830.657890	-1129.887619
0.0000005700	-34264.047507	-1120.482040
0.0000005800	-33690.145876	-1110.833247
0.0000005900	-33108.933984	-1100.955734
0.0000006000	-32519.567459	-1090.861575
0.0000006100	-31924.923288	-1080.559959
0.0000006200	-31324.083942	-1070.056746
0.0000006300	-30712.666263	-1059.354091
0.0000006400	-30091.444363	-1048.450112
0.0000006500	-29465.633685	-1037.338624
0.0000006600	-28836.086664	-1026.008955
0.0000006700	-28200.514955	-1014.445818
0.0000006800	-27557.934800	-1002.629284
0.0000006900	-26907.928040	-990.534820
0.0000007000	-26250.854661	-978.133422
0.0000007100	-25587.609149	-965.391830
0.0000007200	-24918.838321	-952.272824
0.0000007300	-24243.922431	-938.735598
0.0000007400	-23564.952265	-924.736220
0.0000007500	-22884.781770	-910.228149
0.0000007600	-22199.291576	-895.162830
0.0000007700	-21504.252891	-879.490336
0.0000007800	-20804.036785	-863.160062
0.0000007900	-20101.478192	-846.121456
0.0000008000	-19395.206298	-828.324779
0.0000008100	-18685.441700	-809.721882
0.0000008200	-17971.716130	-790.266984
0.0000008300	-17255.059430	-769.917453
0.0000008400	-16534.882956	-748.634557
0.0000008500	-15811.995951	-726.384195
0.0000008600	-15086.208917	-703.137583
0.0000008700	-14353.897825	-678.871886
0.0000008800	-13615.208982	-653.570796
0.0000008900	-12875.037009	-627.225024
0.0000009000	-12133.974579	-599.832730
0.0000009100	-11389.953948	-571.399849
0.0000009200	-10642.696344	-541.940337
0.0000009300	-9893.006981	-511.476311
0.0000009400	-9141.699131	-480.038091
0.0000009500	-8388.292436	-447.664139
0.0000009600	-7634.498684	-414.400892
0.0000009700	-6877.831975	-380.302497
0.0000009800	-6117.780848	-345.430444
0.0000009900	-5357.342664	-309.853107
0.0000010000	-4594.674309	-273.645189
0.0000010100	-3829.597235	-236.887090
0.0000010200	-3063.184477	-199.664203
0.0000010300	-2294.901532	-162.066137
0.0000010400	-1525.356055	-124.185892
0.0000010500	-756.174593	-86.118987
0.0000010600	11.918854	-47.962558
0.0000010700	781.208600	-9.814434
0.0000010800	1551.392833	28.227791
0.0000010900	2319.188497	66.067686
0.0000011000	3083.793271	103.610889
0.0000011100	3848.668757	140.765983
0.0000011200	4615.116647	177.445336
0.0000011300	5379.613136	213.565884
0.0000011400	6139.281238	249.049852
0.0000011500	6896.292951	283.825405
0.0000011600	7652.464319	317.827222
0.0000011700	8406.990130	350.996973
0.0000011800	9160.536212	383.283721
0.0000011900	9913.164765	414.644210
0.0000012000	10662.726832	445.043067
0.0000012100	11409.074968	474.452900
0.0000012200	12153.575959	502.854293
0.0000012300	12896.458463	530.235707
0.0000012400	13638.392338	556.593288
0.0000012500	14376.175743	581.930576
0.0000012600	15107.233502	606.258141
0.0000012700	15832.920312	629.593133
0.0000012800	16554.475662	651.958766
0.0000012900	17274.021440	673.383742
0.0000013000	17990.384387	693.901621
0.0000013100	18702.085404	713.550153
0.0000013200	19410.131291	732.370581
0.0000013300	20113.848160	750.406921
0.0000013400	20814.292925	767.705241
0.0000013500	21511.930965	784.312935
0.0000013600	22202.951644	800.278016
0.0000013700	22886.618872	815.648430
0.0000013800	23566.576828	830.471408
0.0000013900	24242.376253	844.792856
0.0000014000	24912.538048	858.656795
0.0000014100	25577.112323	872.104861
0.0000014200	26237.187095	885.175870
0.0000014300	26894.586466	897.905443
0.0000014400	27546.015293	910.325711
0.0000014500	28189.878130	922.465092
0.0000014600	28827.262992	934.348136
0.0000014700	29458.529863	945.995454
0.0000014800	30084.743716	957.423713
0.0000014900	30704.789468	968.645704
0.0000015000	31318.194817	979.670476
0.0000015100	31922.136918	990.503531
0.0000015200	32516.778198	1001.147075
0.0000015300	33105.526117	1011.600317
0.0000015400	33688.074832	1021.859810
0.0000015500	34264.199713	1031.919830
0.0000015600	34835.446095	1041.772773
0.0000015700	35397.426787	1051.409575
0.0000015800	35949.401669	1060.820140
0.0000015900	36495.715880	1069.993767
0.0000016000	37033.654857	1078.919569
