Tiempo_(s)	Campo_(A/m)	Magnetizacion_(A/m)
0.0000000000	-51810.314978	-1160.653348
0.0000000100	-51810.330614	-1160.849297
0.0000000200	-51810.346251	-1161.053764
0.0000000300	-51809.811360	-1161.266599
0.0000000400	-51805.800300	-1161.487547
0.0000000500	-51800.169181	-1161.716247
0.0000000600	-51791.061895	-1161.952237
0.0000000700	-51778.682965	-1162.194952
0.0000000800	-51766.162561	-1162.443732
0.0000000900	-51751.786047	-1162.697817
0.0000001000	-51735.034419	-1162.956360
0.0000001100	-51715.388677	-1163.218422
0.0000001200	-51695.019406	-1163.482981
0.0000001300	-51674.099607	-1163.748938
0.0000001400	-51648.980110	-1164.015117
0.0000001500	-51621.312500	-1164.280273
0.0000001600	-51594.950473	-1164.543097
0.0000001700	-51564.734749	-1164.802224
0.0000001800	-51532.694441	-1165.056236
0.0000001900	-51497.036489	-1165.303669
0.0000002000	-51458.625897	-1165.543021
0.0000002100	-51422.621944	-1165.772756
0.0000002200	-51385.689935	-1165.991314
0.0000002300	-51346.005287	-1166.197116
0.0000002400	-51298.849299	-1166.388569
0.0000002500	-51251.174308	-1166.564078
0.0000002600	-51204.427373	-1166.722047
0.0000002700	-51152.348158	-1166.860889
0.0000002800	-51095.927771	-1166.979035
0.0000002900	-51039.161383	-1167.074935
0.0000003000	-50982.017467	-1167.147069
0.0000003100	-50918.125741	-1167.193951
0.0000003200	-50853.164484	-1167.214137
0.0000003300	-50788.926756	-1167.206229
0.0000003400	-50719.938802	-1167.168882
0.0000003500	-50651.359902	-1167.100810
0.0000003600	-50585.124588	-1167.000787
0.0000003700	-50508.633769	-1166.867656
0.0000003800	-50425.458191	-1166.700334
0.0000003900	-50350.163005	-1166.497810
0.0000004000	-50272.429655	-1166.259155
0.0000004100	-50186.878964	-1165.983522
0.0000004200	-50104.285440	-1165.670148
0.0000004300	-50020.008805	-1165.318359
0.0000004400	-49931.563999	-1164.927569
0.0000004500	-49844.220249	-1164.497282
0.0000004600	-49754.847388	-1164.027097
0.0000004700	-49661.306355	-1163.516700
0.0000004800	-49565.390209	-1162.965872
0.0000004900	-49469.301063	-1162.374483
0.0000005000	-49370.663803	-1161.742497
0.0000005100	-49269.100902	-1161.069962
0.0000005200	-49167.192000	-1160.357015
0.0000005300	-49064.732570	-1159.603880
0.0000005400	-48958.796971	-1158.810858
0.0000005500	-48848.866201	-1157.978333
0.0000005600	-48741.515070	-1157.106761
0.0000005700	-48633.959413	-1156.196670
0.0000005800	-48522.204059	-1155.248657
0.0000005900	-48411.376759	-1154.263377
0.0000006000	-48299.275403	-1153.241547
0.0000006100	-48183.147351	-1152.183932
0.0000006200	-48066.673296	-1151.091346
0.0000006300	-47948.201657	-1149.964643
0.0000006400	-47826.253848	-1148.804714
0.0000006500	-47703.960038	-1147.612476
0.0000006600	-47580.565172	-1146.388871
0.0000006700	-47453.521137	-1145.134858
0.0000006800	-47321.003348	-1143.851404
0.0000006900	-47185.418442	-1142.539483
0.0000007000	-47049.110008	-1141.200064
0.0000007100	-46912.251046	-1139.834109
0.0000007200	-46776.320139	-1138.442564
0.0000007300	-46637.809594	-1137.026355
0.0000007400	-46495.476877	-1135.586379
0.0000007500	-46352.798160	-1134.123503
0.0000007600	-46209.568914	-1132.638551
0.0000007700	-46063.791555	-1131.132306
0.0000007800	-45915.639083	-1129.605500
0.0000007900	-45766.212554	-1128.058813
0.0000008000	-45615.338968	-1126.492862
0.0000008100	-45463.191325	-1124.908205
0.0000008200	-45309.769626	-1123.305329
0.0000008300	-45155.624397	-1121.684653
0.0000008400	-45000.205112	-1120.046520
0.0000008500	-44841.309659	-1118.391197
0.0000008600	-44679.866091	-1116.718872
0.0000008700	-44517.525995	-1115.029652
0.0000008800	-44356.664481	-1113.323559
0.0000008900	-44196.148969	-1111.600534
0.0000009000	-44032.880817	-1109.860433
0.0000009100	-43868.543135	-1108.103027
0.0000009200	-43702.553869	-1106.328002
0.0000009300	-43532.915433	-1104.534964
0.0000009400	-43356.906714	-1102.723432
0.0000009500	-43176.352296	-1100.892850
0.0000009600	-42998.377517	-1099.042578
0.0000009700	-42820.748739	-1097.171904
0.0000009800	-42638.920264	-1095.280044
0.0000009900	-42455.471731	-1093.366140
0.0000010000	-42269.270558	-1091.429274
0.0000010100	-42081.999854	-1089.468461
0.0000010200	-41896.931263	-1087.482663
0.0000010300	-41708.181976	-1085.470788
0.0000010400	-41517.089102	-1083.431697
0.0000010500	-41325.996229	-1081.364209
0.0000010600	-41132.150715	-1079.267105
0.0000010700	-40936.685143	-1077.139139
0.0000010800	-40737.570402	-1074.979036
0.0000010900	-40539.383716	-1072.785505
0.0000011000	-40344.122670	-1070.557242
0.0000011100	-40147.383042	-1068.292937
0.0000011200	-39947.167244	-1065.991278
0.0000011300	-39743.679805	-1063.650962
0.0000011400	-39538.572307	-1061.270697
0.0000011500	-39333.464809	-1058.849210
0.0000011600	-39126.878729	-1056.385253
0.0000011700	-38915.746949	-1053.877607
0.0000011800	-38704.646694	-1051.325093
0.0000011900	-38493.892442	-1048.726570
0.0000012000	-38278.560964	-1046.080946
0.0000012100	-38062.364483	-1043.387183
0.0000012200	-37843.965890	-1040.644297
0.0000012300	-37623.915713	-1037.851368
0.0000012400	-37405.721646	-1035.007538
0.0000012500	-37184.397413	-1032.112023
0.0000012600	-36960.525065	-1029.164106
0.0000012700	-36736.306717	-1026.163149
0.0000012800	-36512.088368	-1023.108589
0.0000012900	-36286.045434	-1019.999943
0.0000013000	-36057.076860	-1016.836810
0.0000013100	-35827.384757	-1013.618867
0.0000013200	-35599.721765	-1010.345875
0.0000013300	-35369.856662	-1007.017677
0.0000013400	-35135.241332	-1003.634194
0.0000013500	-34897.354361	-1000.195429
0.0000013600	-34657.469804	-996.701463
0.0000013700	-34420.164887	-993.152449
0.0000013800	-34181.381386	-989.548615
0.0000013900	-33937.847659	-985.890258
0.0000014000	-33693.244403	-982.177739
0.0000014100	-33448.641146	-978.411481
0.0000014200	-33204.037890	-974.591959
0.0000014300	-32959.434633	-970.719704
0.0000014400	-32714.831377	-966.795288
0.0000014500	-32470.228120	-962.819321
0.0000014600	-32223.800279	-958.792446
0.0000014700	-31976.648909	-954.715331
0.0000014800	-31727.845955	-950.588660
0.0000014900	-31475.393831	-946.413128
0.0000015000	-31219.119538	-942.189432
0.0000015100	-30959.023074	-937.918260
0.0000015200	-30700.987247	-933.600289
0.0000015300	-30445.122006	-929.236171
0.0000015400	-30185.371544	-924.826527
0.0000015500	-29922.003438	-920.371937
0.0000015600	-29660.491442	-915.872933
0.0000015700	-29400.599505	-911.329989
0.0000015800	-29138.505455	-906.743513
0.0000015900	-28874.240820	-902.113837
0.0000016000	-28609.252655	-897.441212
0.0000016100	-28342.062379	-892.725796
0.0000016200	-28070.499405	-887.967651
0.0000016300	-27797.866900	-883.166728
0.0000016400	-27525.784923	-878.322868
0.0000016500	-27252.601890	-873.435789
0.0000016600	-26978.144801	-868.505083
0.0000016700	-26702.964183	-863.530208
0.0000016800	-26428.507093	-858.510483
0.0000016900	-26152.052418	-853.445084
0.0000017000	-25873.049630	-848.333039
0.0000017100	-25594.046841	-843.173224
0.0000017200	-25314.115998	-837.964358
0.0000017300	-25031.086513	-832.705004
0.0000017400	-24747.915552	-827.393567
0.0000017500	-24465.641122	-822.028287
0.0000017600	-24181.888108	-816.607247
0.0000017700	-23899.440677	-811.128368
0.0000017800	-23616.615718	-805.589410
0.0000017900	-23331.588647	-799.987978
0.0000018000	-23046.215575	-794.321521
0.0000018100	-22760.842503	-788.587334
0.0000018200	-22474.195374	-782.782570
0.0000018300	-22187.548245	-776.904235
0.0000018400	-21900.901117	-770.949201
0.0000018500	-21611.501348	-764.914210
0.0000018600	-21321.032049	-758.795881
0.0000018700	-21032.214334	-752.590721
0.0000018800	-20740.266451	-746.295129
0.0000018900	-20444.323398	-739.905409
0.0000019000	-20148.757872	-733.417780
0.0000019100	-19850.266706	-726.828388
