# 28 - 07 - 2022 - 16:03:09
# Concentración de la muestra: 25000 g/m^3
Nombre del archivo analizado	Frecuencia (kHz)	Campo Maximo (kA/m)	SAR (W/g)	Coercitividad (kA/m)	Remanencia (kA/m)	Peor quita de ruido porcentual
095kHz_030dA_100Mss_US_00.txt	97.837236	10.551178	0f	0.026282	0.001291	0.000000
095kHz_030dA_100Mss_US_01.txt	97.845346	10.551178	0f	0.095182	0.003971	0.000000
095kHz_060dA_100Mss_US_00.txt	97.805968	20.884584	0f	0.044413	0.002269	0.000000
095kHz_060dA_100Mss_US_01.txt	97.808409	20.884584	1f	0.051381	0.002358	0.000000
095kHz_090dA_100Mss_US_00.txt	97.856424	31.217989	5f	0.079118	0.003980	0.000000
095kHz_090dA_100Mss_US_01.txt	97.844560	31.217989	4f	0.083948	0.004780	0.000000
095kHz_120dA_100Mss_US_00.txt	97.879262	41.551395	7f	0.097257	0.004696	0.000000
095kHz_120dA_100Mss_US_01.txt	97.846308	41.551395	7f	0.322084	0.015878	0.000000
095kHz_150dA_100Mss_US_00.txt	97.917340	51.884801	1f	0.187566	0.008994	0.000000
095kHz_150dA_100Mss_US_01.txt	97.901759	51.884801	11f	0.032757	0.001651	0.000000
134kHz_030dA_100Mss_US_00.txt	134.468397	10.551178	0f	0.017996	0.000747	0.000000
134kHz_030dA_100Mss_US_01.txt	134.477738	10.551178	0f	0.073199	0.003337	0.000000
134kHz_060dA_100Mss_US_00.txt	134.486278	20.884584	7f	0.253449	0.013622	0.000000
134kHz_060dA_100Mss_US_01.txt	134.473308	20.884584	4f	0.180604	0.009327	0.000000
134kHz_090dA_100Mss_US_00.txt	134.540714	31.217989	25f	0.547827	0.030642	0.000000
134kHz_090dA_100Mss_US_01.txt	134.509915	31.217989	23f	0.512250	0.027846	0.000000
134kHz_120dA_100Mss_US_00.txt	134.634179	41.551395	50f	0.791652	0.043021	0.000000
134kHz_120dA_100Mss_US_01.txt	134.578231	41.551395	35f	0.574548	0.030263	0.000000
134kHz_150dA_100Mss_US_00.txt	134.773374	51.884801	42f	0.412002	0.025362	0.000000
134kHz_150dA_100Mss_US_01.txt	134.834263	51.884801	25f	0.289111	0.013712	0.000000
205kHz_030dA_100Mss_US_00.txt	208.375671	10.551178	4f	0.251907	0.011041	0.000000
205kHz_030dA_100Mss_US_01.txt	208.372874	10.551178	5f	0.291325	0.013962	0.000000
205kHz_060dA_100Mss_US_00.txt	208.236135	20.884584	44f	1.102383	0.060173	0.000000
205kHz_060dA_100Mss_US_01.txt	208.248713	20.884584	52f	1.234471	0.073159	0.000000
205kHz_090dA_100Mss_US_00.txt	208.256675	31.217989	66f	1.166912	0.059876	0.000000
205kHz_090dA_100Mss_US_01.txt	208.199114	31.217989	64f	1.064904	0.057562	0.000000
205kHz_120dA_100Mss_US_00.txt	208.315766	41.551395	75f	0.888734	0.053049	0.000000
205kHz_120dA_100Mss_US_01.txt	208.294789	41.551395	77f	0.927347	0.051228	0.000000
205kHz_150dA_100Mss_US_00.txt	208.396198	51.884801	75f	0.681075	0.039535	0.000000
205kHz_150dA_100Mss_US_01.txt	208.445424	51.884801	79f	0.664280	0.040143	0.000000
234kHz_030dA_100Mss_US_00.txt	234.300193	10.551178	10f	0.535430	0.025649	0.000000
234kHz_030dA_100Mss_US_01.txt	234.289062	10.551178	7f	0.447943	0.020042	0.000000
234kHz_060dA_100Mss_US_00.txt	234.096819	20.884584	63f	1.609300	0.080897	0.000000
234kHz_060dA_100Mss_US_01.txt	234.069680	20.884584	59f	1.383197	0.074163	0.000000
234kHz_090dA_100Mss_US_00.txt	234.031134	31.217989	125f	1.599375	0.108052	0.000000
234kHz_090dA_100Mss_US_01.txt	233.986218	31.217989	101f	1.653270	0.088484	0.000000
234kHz_120dA_100Mss_US_00.txt	233.970845	41.551395	153f	1.229174	0.095243	0.000000
234kHz_120dA_100Mss_US_01.txt	233.954409	41.551395	110f	1.364263	0.069094	0.000000
234kHz_150dA_100Mss_US_00.txt	234.048014	51.884801	101f	0.922962	0.049068	0.000000
234kHz_150dA_100Mss_US_01.txt	234.090295	51.884801	81f	0.702788	0.039616	0.000000
260kHz_030dA_100Mss_US_00.txt	262.656270	10.551178	15f	0.675683	0.034991	0.000000
260kHz_030dA_100Mss_US_01.txt	262.635367	10.551178	18f	0.683783	0.039680	0.000000
260kHz_060dA_100Mss_US_00.txt	262.042524	20.884584	91f	1.718006	0.108053	0.000000
260kHz_060dA_100Mss_US_01.txt	262.022772	20.884584	109f	2.090943	0.133358	0.000000
260kHz_090dA_100Mss_US_00.txt	261.968286	31.217989	169f	1.891546	0.133799	0.000000
260kHz_090dA_100Mss_US_01.txt	261.931912	31.217989	131f	1.593286	0.100856	0.000000
260kHz_120dA_100Mss_US_00.txt	262.194577	41.551395	62f	0.649425	0.036324	0.000000
260kHz_120dA_100Mss_US_01.txt	262.122083	41.551395	64f	0.567366	0.037449	0.000000
260kHz_150dA_100Mss_US_00.txt	262.435392	51.884801	12f	0.049688	0.002418	0.000000
260kHz_150dA_100Mss_US_01.txt	262.472241	51.884801	111f	0.870122	0.045923	0.000000
300kHz_010dA_100Mss_US_00.txt	300.165621	3.662241	0f	0.024809	0.001282	0.000000
300kHz_010dA_100Mss_US_01.txt	300.162607	3.662241	0f	0.033762	0.001629	0.000000
300kHz_030dA_100Mss_US_00.txt	299.870899	10.551178	27f	0.966164	0.053922	0.000000
300kHz_030dA_100Mss_US_01.txt	299.841888	10.551178	17f	0.724511	0.035109	0.000000
300kHz_090dA_100Mss_US_00.txt	299.067407	31.217989	76f	0.777857	0.049259	0.000000
300kHz_090dA_100Mss_US_01.txt	299.090480	31.217989	82f	0.743146	0.052342	0.000000
300kHz_150dA_100Mss_US_00.txt	299.938033	51.884801	74f	0.375959	0.026601	0.000000
300kHz_150dA_100Mss_US_01.txt	299.749606	51.884801	104f	0.655648	0.039697	0.000000
