# 28 - 07 - 2022 - 15:26:32
# Concentración de la muestra: 25890 g/m^3
Nombre del archivo analizado	Frecuencia (kHz)	Campo Maximo (kA/m)	SAR (W/g)	Coercitividad (kA/m)	Remanencia (kA/m)	Peor quita de ruido porcentual
205kHz_030dA_100Mss_US_00.txt	208.375671	10.551178	4.103879	0.251907	0.011041	0.000000
205kHz_030dA_100Mss_US_01.txt	208.372874	10.551178	5.153906	0.291325	0.013962	0.000000
205kHz_060dA_100Mss_US_00.txt	208.236135	20.884584	42.780017	1.102383	0.060173	0.000000
205kHz_060dA_100Mss_US_01.txt	208.248713	20.884584	50.959962	1.234471	0.073159	0.000000
205kHz_090dA_100Mss_US_00.txt	208.256675	31.217989	64.461770	1.166912	0.059876	0.000000
205kHz_090dA_100Mss_US_01.txt	208.199114	31.217989	62.273304	1.064904	0.057562	0.000000
205kHz_120dA_100Mss_US_00.txt	208.315766	41.551395	73.289391	0.888734	0.053049	0.000000
205kHz_120dA_100Mss_US_01.txt	208.294789	41.551395	75.158495	0.927347	0.051228	0.000000
205kHz_150dA_100Mss_US_00.txt	208.396198	51.884801	73.011659	0.681075	0.039535	0.000000
205kHz_150dA_100Mss_US_01.txt	208.445424	51.884801	76.291482	0.664280	0.040143	0.000000
