Unit:(mV)
                     CH1         CH2
Frequency              ?  98.132 kHz
00001               0.40    -6400.00
00002               1.20    -6400.00
00003               1.00    -6400.00
00004               0.40    -6400.00
00005               1.00    -6400.00
00006               1.00    -7200.00
00007               0.60    -7200.00
00008               1.40    -7200.00
00009               1.20    -7200.00
00010               0.40    -6400.00
00011               1.00    -7200.00
00012               1.40    -7200.00
00013               0.60    -7200.00
00014               1.20    -7200.00
00015               1.00    -7200.00
00016               0.40    -7200.00
00017               1.40    -8000.00
00018               0.60    -7200.00
00019               0.60    -7200.00
00020               1.40    -8000.00
00021               1.40    -8000.00
00022               1.20    -7200.00
00023               1.40    -7200.00
00024               1.60    -8000.00
00025               1.00    -8000.00
00026               0.00    -8000.00
00027               2.00    -8000.00
00028               2.00    -8000.00
00029              -0.20    -8000.00
00030               2.00    -7200.00
00031               2.00    -8000.00
00032              -0.40    -7200.00
00033               2.00    -8000.00
00034               2.80    -8000.00
00035               0.40    -7200.00
00036               1.80    -8000.00
00037               2.20    -8000.00
00038               0.40    -8000.00
00039               2.00    -8000.00
00040               2.00    -8000.00
00041               0.40    -8000.00
00042               2.20    -8800.00
00043               2.60    -8000.00
00044              -0.20    -8800.00
00045               1.20    -8800.00
00046               2.80    -8800.00
00047               0.40    -8000.00
00048               1.80    -8000.00
00049               3.80    -8800.00
00050               0.40    -8800.00
00051               1.00    -8800.00
00052               3.40    -8800.00
00053               0.60    -8800.00
00054               1.20    -8000.00
00055               2.80    -8000.00
00056               1.20    -8800.00
00057               1.00    -8800.00
00058               2.40    -9600.00
00059               1.20    -8800.00
00060               1.60    -9600.00
00061               2.20    -8800.00
00062               1.80    -9600.00
00063               2.00    -9600.00
00064               1.80    -9600.00
00065               1.80    -9600.00
00066               2.00    -9600.00
00067               1.80    -9600.00
00068               2.20    -9600.00
00069               2.20    -9600.00
00070               1.40    -9600.00
00071               2.00    -9600.00
00072               2.60    -9600.00
00073               1.40    -8800.00
00074               2.00    -9600.00
00075               2.60    -8800.00
00076               1.80    -9600.00
00077               2.80    -9600.00
00078               2.00    -9600.00
00079               2.20    -9600.00
00080               2.60    -9600.00
00081               2.40    -9600.00
00082               2.20    -9600.00
00083               2.20    -9600.00
00084               2.20    -9600.00
00085               2.00   -10400.00
00086               2.60    -9600.00
00087               2.00    -9600.00
