Tiempo (s)	 Campo (A/m)	 Magnetizacion (A/m)
0.000000e+00	-5.183333e+04	4.244412e+02
1.000000e-08	-5.182748e+04	4.236160e+02
2.000000e-08	-5.180851e+04	4.232890e+02
3.000000e-08	-5.177486e+04	4.239692e+02
4.000000e-08	-5.172491e+04	4.247245e+02
5.000000e-08	-5.165971e+04	4.240520e+02
6.000000e-08	-5.158292e+04	4.216978e+02
7.000000e-08	-5.149706e+04	4.193147e+02
8.000000e-08	-5.139974e+04	4.189861e+02
9.000000e-08	-5.128469e+04	4.210453e+02
1.000000e-07	-5.114735e+04	4.235427e+02
1.100000e-07	-5.098955e+04	4.240325e+02
1.200000e-07	-5.081826e+04	4.218994e+02
1.300000e-07	-5.063959e+04	4.188958e+02
1.400000e-07	-5.045443e+04	4.174299e+02
1.500000e-07	-5.025956e+04	4.183741e+02
1.600000e-07	-5.005191e+04	4.204759e+02
1.700000e-07	-4.983085e+04	4.217421e+02
1.800000e-07	-4.959675e+04	4.213098e+02
1.900000e-07	-4.934883e+04	4.200738e+02
2.000000e-07	-4.908568e+04	4.196766e+02
2.100000e-07	-4.880756e+04	4.209713e+02
2.200000e-07	-4.851662e+04	4.234005e+02
2.300000e-07	-4.821432e+04	4.257627e+02
2.400000e-07	-4.789903e+04	4.274982e+02
2.500000e-07	-4.756739e+04	4.291138e+02
2.600000e-07	-4.721829e+04	4.311953e+02
2.700000e-07	-4.685468e+04	4.329615e+02
2.800000e-07	-4.648087e+04	4.320601e+02
2.900000e-07	-4.609818e+04	4.263145e+02
3.000000e-07	-4.570381e+04	4.161092e+02
3.100000e-07	-4.529417e+04	4.050514e+02
3.200000e-07	-4.486877e+04	3.978314e+02
3.300000e-07	-4.443042e+04	3.968433e+02
3.400000e-07	-4.398201e+04	4.004915e+02
3.500000e-07	-4.352370e+04	4.046593e+02
3.600000e-07	-4.305353e+04	4.059086e+02
3.700000e-07	-4.257011e+04	4.035539e+02
3.800000e-07	-4.207397e+04	3.991515e+02
3.900000e-07	-4.156644e+04	3.945153e+02
4.000000e-07	-4.104788e+04	3.903854e+02
4.100000e-07	-4.051754e+04	3.866053e+02
4.200000e-07	-3.997498e+04	3.829098e+02
4.300000e-07	-3.942088e+04	3.791850e+02
4.400000e-07	-3.885639e+04	3.751958e+02
4.500000e-07	-3.828191e+04	3.705517e+02
4.600000e-07	-3.769703e+04	3.651564e+02
4.700000e-07	-3.710154e+04	3.594891e+02
4.800000e-07	-3.649620e+04	3.541706e+02
4.900000e-07	-3.588227e+04	3.492553e+02
5.000000e-07	-3.526039e+04	3.441590e+02
5.100000e-07	-3.463022e+04	3.383708e+02
5.200000e-07	-3.399107e+04	3.320805e+02
5.300000e-07	-3.334275e+04	3.259383e+02
5.400000e-07	-3.268566e+04	3.202698e+02
5.500000e-07	-3.202020e+04	3.147408e+02
5.600000e-07	-3.134633e+04	3.088556e+02
5.700000e-07	-3.066369e+04	3.025917e+02
5.800000e-07	-2.997212e+04	2.963497e+02
5.900000e-07	-2.927203e+04	2.903477e+02
6.000000e-07	-2.856432e+04	2.843135e+02
6.100000e-07	-2.784989e+04	2.778817e+02
