Tiempo_(s)	Campo_(A/m)	Magnetizacion_(A/m)
0.0000000000	-51792.067297	-873.869514
0.0000000100	-51780.799178	-873.797168
0.0000000200	-51740.940144	-873.584426
0.0000000300	-51681.600831	-873.205545
0.0000000400	-51614.103670	-872.626704
0.0000000500	-51531.220220	-871.830754
0.0000000600	-51431.998140	-870.835769
0.0000000700	-51321.522430	-869.695287
0.0000000800	-51192.534073	-868.477199
0.0000000900	-51045.332533	-867.229822
0.0000001000	-50862.042755	-865.951991
0.0000001100	-50642.396296	-864.584132
0.0000001200	-50409.983158	-863.028521
0.0000001300	-50159.548836	-861.192973
0.0000001400	-49885.808684	-859.039603
0.0000001500	-49596.190784	-856.615585
0.0000001600	-49293.060707	-854.048826
0.0000001700	-48966.448092	-851.506155
0.0000001800	-48624.295857	-849.128487
0.0000001900	-48277.957011	-846.968850
0.0000002000	-47912.029977	-844.959454
0.0000002100	-47530.455858	-842.922800
0.0000002200	-47141.945119	-840.623740
0.0000002300	-46728.353821	-837.842506
0.0000002400	-46296.918488	-834.440289
0.0000002500	-45860.751128	-830.392740
0.0000002600	-45407.085065	-825.780718
0.0000002700	-44936.135671	-820.745419
0.0000002800	-44455.706935	-815.428790
0.0000002900	-43952.194947	-809.924076
0.0000003000	-43425.807435	-804.254447
0.0000003100	-42892.007130	-798.383759
0.0000003200	-42341.076828	-792.249281
0.0000003300	-41767.770108	-785.798184
0.0000003400	-41178.516396	-779.010621
0.0000003500	-40579.069307	-771.901060
0.0000003600	-39973.745849	-764.501171
0.0000003700	-39359.273534	-756.836171
0.0000003800	-38721.648722	-748.908287
0.0000003900	-38057.983363	-740.695677
0.0000004000	-37380.429917	-732.166055
0.0000004100	-36695.448391	-723.296353
0.0000004200	-36001.871066	-714.086929
0.0000004300	-35292.170042	-704.562286
0.0000004400	-34567.781921	-694.757778
0.0000004500	-33835.520125	-684.699303
0.0000004600	-33090.430052	-674.386583
0.0000004700	-32333.303070	-663.788663
0.0000004800	-31571.774545	-652.853898
0.0000004900	-30802.118750	-641.529429
0.0000005000	-30015.886016	-629.780603
0.0000005100	-29206.454919	-617.601208
0.0000005200	-28379.494540	-605.010271
0.0000005300	-27545.828204	-592.037868
0.0000005400	-26707.952323	-578.707471
0.0000005500	-25862.571474	-565.023444
0.0000005600	-25003.248584	-550.969032
0.0000005700	-24135.207143	-536.514671
0.0000005800	-23258.838788	-521.631443
0.0000005900	-22374.481648	-506.302585
0.0000006000	-21482.535008	-490.527722
0.0000006100	-20583.144999	-474.318760
0.0000006200	-19682.464517	-457.690600
0.0000006300	-18774.378889	-440.652003
0.0000006400	-17860.401603	-423.200991
0.0000006500	-16945.786726	-405.326108
0.0000006600	-16028.337309	-387.011573
0.0000006700	-15103.559631	-368.242661
0.0000006800	-14171.446050	-349.008405
0.0000006900	-13229.653486	-329.301117
0.0000007000	-12274.080300	-309.114687
0.0000007100	-11312.715280	-288.444420
0.0000007200	-10341.663631	-267.289906
0.0000007300	-9359.589014	-245.659789
0.0000007400	-8376.216281	-223.575146
0.0000007500	-7392.213601	-201.068074
0.0000007600	-6404.001376	-178.174379
0.0000007700	-5413.753622	-154.922963
0.0000007800	-4424.151104	-131.327406
0.0000007900	-3431.798578	-107.385533
0.0000008000	-2440.629058	-83.089698
0.0000008100	-1453.684371	-58.445355
0.0000008200	-466.839506	-33.490736
0.0000008300	522.670835	-8.308641
0.0000008400	1512.918590	16.976189
0.0000008500	2503.519761	42.214803
0.0000008600	3495.134875	67.260876
0.0000008700	4485.113744	91.996450
0.0000008800	5473.525611	116.346654
0.0000008900	6463.220306	140.278382
0.0000009000	7452.569227	163.785031
0.0000009100	8434.298071	186.865453
0.0000009200	9411.064668	209.507329
0.0000009300	10386.110488	231.682291
0.0000009400	11354.012402	253.353859
0.0000009500	12309.808163	274.492742
0.0000009600	13255.072418	295.090594
0.0000009700	14193.530894	315.164457
0.0000009800	15125.582877	334.749250
0.0000009900	16052.142487	353.881975
0.0000010000	16973.901270	372.585595
0.0000010100	17893.301685	390.860583
0.0000010200	18808.577087	408.688090
0.0000010300	19717.261643	426.042657
0.0000010400	20620.246539	442.907656
0.0000010500	21515.357761	459.285559
0.0000010600	22400.498180	475.198200
0.0000010700	23277.181287	490.677656
0.0000010800	24148.909792	505.753259
0.0000010900	25015.698985	520.441955
0.0000011000	25870.120784	534.746922
0.0000011100	26713.980498	548.664392
0.0000011200	27554.721498	562.193841
0.0000011300	28390.261944	575.344801
0.0000011400	29214.717824	588.135637
0.0000011500	30025.969076	600.584572
0.0000011600	30818.354265	612.698251
0.0000011700	31589.184981	624.465269
0.0000011800	32349.991382	635.859937
0.0000011900	33106.411529	646.856050
0.0000012000	33856.609537	657.444434
0.0000012100	34594.977921	667.644990
0.0000012200	35317.683488	677.505724
0.0000012300	36026.370127	687.087412
0.0000012400	36720.646200	696.439989
0.0000012500	37404.913247	705.581735
0.0000012600	38083.603390	714.491902
0.0000012700	38748.581713	723.121457
0.0000012800	39387.527132	731.417857
0.0000012900	40005.724733	739.352482
0.0000013000	40614.374192	746.937416
0.0000013100	41216.609513	754.222882
0.0000013200	41810.794451	761.275860
0.0000013300	42389.308927	768.149722
0.0000013400	42948.035574	774.859509
0.0000013500	43490.339057	781.375181
0.0000013600	44021.988280	787.636705
0.0000013700	44542.291695	793.584230
0.0000013800	45042.722749	799.189079
0.0000013900	45518.495904	804.470584
0.0000014000	45975.818010	809.490430
0.0000014100	46419.105900	814.326914
0.0000014200	46849.119920	819.041246
0.0000014300	47265.307010	823.651805
0.0000014400	47661.230098	828.128415
0.0000014500	48041.083440	832.408972
0.0000014600	48410.866158	836.430036
0.0000014700	48764.532822	840.156532
0.0000014800	49098.396366	843.596522
0.0000014900	49415.913635	846.794743
0.0000015000	49721.447506	849.809125
0.0000015100	50004.282119	852.682661
0.0000015200	50262.873849	855.424752
0.0000015300	50505.065348	858.010781
0.0000015400	50728.936199	860.399096
0.0000015500	50931.544395	862.555764
0.0000015600	51107.482095	864.473857
0.0000015700	51261.665680	866.177397
0.0000015800	51401.461631	867.708432
0.0000015900	51524.043051	869.104695
0.0000016000	51626.529535	870.380081
0.0000016100	51710.864433	871.518372
0.0000016200	51781.349468	872.483332
0.0000016300	51840.488697	873.239304
0.0000016400	51875.899436	873.770812
0.0000016500	51884.801100	874.090271
0.0000016600	51877.379422	874.229580
0.0000016700	51858.589003	874.220435
0.0000016800	51823.221646	874.074812
0.0000016900	51767.951349	873.777357
0.0000017000	51698.915721	873.295099
0.0000017100	51619.986178	872.600123
0.0000017200	51529.588074	871.692806
0.0000017300	51425.086511	870.611617
0.0000017400	51303.746768	869.421552
0.0000017500	51157.848947	868.184421
0.0000017600	50975.040943	866.924747
0.0000017700	50748.678397	865.609362
0.0000017800	50502.889526	864.153936
0.0000017900	50260.211725	862.457423
0.0000018000	50001.117964	860.451291
0.0000018100	49722.221525	858.141373
0.0000018200	49455.784657	855.621173
0.0000018300	49165.964188	853.046628
0.0000018400	48822.864769	850.579235
0.0000018500	48480.595382	848.319212
0.0000018600	48128.293151	846.256306
0.0000018700	47740.909423	844.259667
0.0000018800	47353.195653	842.112483
0.0000018900	46953.958925	839.578560
0.0000019000	46522.981990	836.474940
0.0000019100	46071.049951	832.722652
0.0000019200	45605.275692	828.357492
0.0000019300	45125.390329	823.499748
0.0000019400	44630.948268	818.298331
0.0000019500	44124.945470	812.873732
0.0000019600	43601.175082	807.282179
0.0000019700	43059.883056	801.511955
0.0000019800	42508.766359	795.507905
0.0000019900	41948.954042	789.208598
0.0000020000	41372.941138	782.577329
0.0000020100	40769.159264	775.613851
0.0000020200	40145.167343	768.344727
0.0000020300	39512.111096	760.800945
0.0000020400	38868.431165	752.996570
0.0000020500	38209.718365	744.920004
0.0000020600	37534.121519	736.541466
0.0000020700	36848.623114	727.831255
0.0000020800	36153.415146	718.777836
0.0000020900	35450.302927	709.395390
0.0000021000	34739.424498	699.716566
0.0000021100	34013.720486	689.774199
0.0000021200	33264.357228	679.581608
0.0000021300	32493.708381	669.121679
0.0000021400	31714.978574	658.350335
0.0000021500	30930.011336	647.212620
0.0000021600	30135.902885	635.663424
0.0000021700	29328.320922	623.682894
0.0000021800	28507.519043	611.279569
0.0000021900	27675.271536	598.480592
0.0000022000	26835.027599	585.314547
0.0000022100	25989.928882	571.795623
0.0000022200	25137.417373	557.916388
0.0000022300	24278.376616	543.651702
0.0000022400	23416.224789	528.970637
0.0000022500	22548.411525	513.849738
0.0000022600	21668.868459	498.281057
0.0000022700	20779.032194	482.271754
0.0000022800	19881.775492	465.836609
0.0000022900	18975.538997	448.988156
0.0000023000	18067.366794	431.729587
0.0000023100	17158.918061	414.053367
0.0000023200	16243.148714	395.944979
0.0000023300	15323.423417	377.388666
0.0000023400	14400.679227	358.371603
0.0000023500	13469.247062	338.884783
0.0000023600	12528.090047	318.921537
0.0000023700	11576.655121	298.476346
0.0000023800	10618.352819	277.546274
0.0000023900	9654.465967	256.135166
0.0000024000	8686.431170	234.258150
0.0000024100	7717.390074	211.942771
0.0000024200	6748.886749	189.224338
0.0000024300	5780.483245	166.136287
0.0000024400	4808.615254	142.699963
0.0000024500	3830.325479	118.919886
0.0000024600	2845.145395	94.789022
0.0000024700	1863.352910	70.304153
0.0000024800	884.963315	45.486148
0.0000024900	-94.701463	20.396471
0.0000025000	-1078.145482	-4.858255
