Tiempo_(s)	Campo_(A/m)	Magnetizacion_(A/m)
0.0000000000	-51831.538543	-828.241770
0.0000000100	-51824.032195	-827.694021
0.0000000200	-51793.522313	-827.127153
0.0000000300	-51737.782089	-826.650142
0.0000000400	-51663.863130	-826.313520
0.0000000500	-51576.108063	-826.088746
0.0000000600	-51474.131879	-825.873781
0.0000000700	-51357.247803	-825.525134
0.0000000800	-51226.087115	-824.905593
0.0000000900	-51076.560373	-823.930107
0.0000001000	-50901.969774	-822.593017
0.0000001100	-50693.910996	-820.967841
0.0000001200	-50461.225409	-819.182350
0.0000001300	-50207.839425	-817.381284
0.0000001400	-49932.899786	-815.692334
0.0000001500	-49647.880512	-814.206663
0.0000001600	-49358.879329	-812.975866
0.0000001700	-49056.159939	-812.018005
0.0000001800	-48722.962283	-811.321228
0.0000001900	-48376.747118	-810.836830
0.0000002000	-48013.407622	-810.462735
0.0000002100	-47628.042764	-810.028207
0.0000002200	-47238.588464	-809.295330
0.0000002300	-46823.196212	-807.988916
0.0000002400	-46381.276399	-805.854560
0.0000002500	-45934.604661	-802.729824
0.0000002600	-45479.067264	-798.602954
0.0000002700	-45006.565108	-793.633151
0.0000002800	-44519.949369	-788.117766
0.0000002900	-44015.626602	-782.411137
0.0000003000	-43490.960700	-776.819361
0.0000003100	-42955.639377	-771.506591
0.0000003200	-42411.972685	-766.446206
0.0000003300	-41850.161918	-761.434712
0.0000003400	-41259.551656	-756.163371
0.0000003500	-40647.332244	-750.321585
0.0000003600	-40024.020365	-743.695224
0.0000003700	-39388.901496	-736.226540
0.0000003800	-38742.582627	-728.018175
0.0000003900	-38081.137342	-719.285099
0.0000004000	-37407.500060	-710.276539
0.0000004100	-36730.813915	-701.198055
0.0000004200	-36042.161207	-692.159791
0.0000004300	-35334.729690	-683.163512
0.0000004400	-34618.207077	-674.124898
0.0000004500	-33900.064644	-664.915508
0.0000004600	-33170.312911	-655.405213
0.0000004700	-32418.490688	-645.490715
0.0000004800	-31645.250092	-635.105523
0.0000004900	-30851.527623	-624.216021
0.0000005000	-30046.657192	-612.812989
0.0000005100	-29237.860348	-600.906559
0.0000005200	-28422.337953	-588.527043
0.0000005300	-27600.828821	-575.727944
0.0000005400	-26772.951399	-562.584437
0.0000005500	-25928.851489	-549.182168
0.0000005600	-25073.218608	-535.596442
0.0000005700	-24214.235098	-521.867819
0.0000005800	-23345.258650	-507.983487
0.0000005900	-22469.060655	-493.872835
0.0000006000	-21585.835343	-479.420573
0.0000006100	-20697.337816	-464.494109
0.0000006200	-19804.941622	-448.976482
0.0000006300	-18905.105357	-432.794473
0.0000006400	-17998.297270	-415.933798
0.0000006500	-17086.161473	-398.438354
0.0000006600	-16172.183877	-380.395811
0.0000006700	-15249.836619	-361.915324
0.0000006800	-14315.245326	-343.103860
0.0000006900	-13369.478322	-324.046059
0.0000007000	-12412.070814	-304.790101
0.0000007100	-11440.854945	-285.340290
0.0000007200	-10465.272158	-265.656459
0.0000007300	-9493.969591	-245.660559
0.0000007400	-8521.980249	-225.250867
0.0000007500	-7544.090869	-204.323150
0.0000007600	-6560.408983	-182.795930
0.0000007700	-5575.599821	-160.634489
0.0000007800	-4589.583594	-137.866915
0.0000007900	-3599.283692	-114.586585
0.0000008000	-2607.336223	-90.938926
0.0000008100	-1620.494485	-67.095248
0.0000008200	-632.171664	-43.220810
0.0000008300	359.116778	-19.446346
0.0000008400	1344.779200	4.148950
0.0000008500	2326.980002	27.538957
0.0000008600	3309.264047	50.737786
0.0000008700	4294.045463	73.777958
0.0000008800	5281.268753	96.686927
0.0000008900	6269.976583	119.468467
0.0000009000	7257.286572	142.092781
0.0000009100	8239.515122	164.495998
0.0000009200	9221.604935	186.587386
0.0000009300	10204.246241	208.261648
0.0000009400	11175.167256	229.413890
0.0000009500	12136.230615	249.955310
0.0000009600	13091.362733	269.827795
0.0000009700	14032.110704	289.015202
0.0000009800	14962.890030	307.548546
0.0000009900	15885.434976	325.502620
0.0000010000	16798.150013	342.982986
0.0000010100	17707.899429	360.104920
0.0000010200	18613.614898	376.968678
0.0000010300	19512.025576	393.637265
0.0000010400	20408.431426	410.122717
0.0000010500	21301.927149	426.384674
0.0000010600	22190.317143	442.341445
0.0000010700	23072.338847	457.890237
0.0000010800	23941.457487	472.931032
0.0000010900	24799.483661	487.388362
0.0000011000	25650.645547	501.226668
0.0000011100	26492.830783	514.457168
0.0000011200	27323.677282	527.136097
0.0000011300	28145.710159	539.355339
0.0000011400	28960.001199	551.226867
0.0000011500	29768.360997	562.862780
0.0000011600	30574.525190	574.353443
0.0000011700	31374.567365	585.747562
0.0000011800	32161.980495	597.039061
0.0000011900	32926.116073	608.165528
0.0000012000	33664.910319	619.020903
0.0000012100	34390.770298	629.481136
0.0000012200	35111.330315	639.437012
0.0000012300	35826.042332	648.824984
0.0000012400	36526.481193	657.646502
0.0000012500	37208.168991	665.969400
0.0000012600	37879.010592	673.910696
0.0000012700	38542.054861	681.606304
0.0000012800	39193.129113	689.177354
0.0000012900	39828.005166	696.703280
0.0000013000	40452.090518	704.208612
0.0000013100	41066.432660	711.664964
0.0000013200	41667.375741	719.004633
0.0000013300	42247.288912	726.139476
0.0000013400	42799.228100	732.979220
0.0000013500	43337.188985	739.446127
0.0000013600	43866.117727	745.486021
0.0000013700	44377.394936	751.077170
0.0000013800	44871.072650	756.237616
0.0000013900	45356.183016	761.029006
0.0000014000	45828.886316	765.552874
0.0000014100	46283.469833	769.935593
0.0000014200	46723.252992	774.301647
0.0000014300	47151.999179	778.740358
0.0000014400	47563.534336	783.276186
0.0000014500	47950.335149	787.854187
0.0000014600	48325.353265	792.348743
0.0000014700	48688.456858	796.595866
0.0000014800	49028.088666	800.440222
0.0000014900	49345.042997	803.781551
0.0000015000	49645.799130	806.604397
0.0000015100	49931.508635	808.980781
0.0000015200	50198.439330	811.045522
0.0000015300	50445.300907	812.953949
0.0000015400	50664.136463	814.837751
0.0000015500	50852.989751	816.773964
0.0000015600	51027.368739	818.775425
0.0000015700	51192.223040	820.801645
0.0000015800	51335.856656	822.781311
0.0000015900	51461.231751	824.634977
0.0000016000	51572.385728	826.289576
0.0000016100	51665.666194	827.683044
0.0000016200	51747.770950	828.763710
0.0000016300	51820.954551	829.491686
0.0000016400	51869.899807	829.846958
0.0000016500	51884.801100	829.842795
0.0000016600	51877.982253	829.537104
0.0000016700	51858.752885	829.032229
0.0000016800	51826.838978	828.457200
0.0000016900	51782.105249	827.934365
0.0000017000	51723.233646	827.540866
0.0000017100	51648.410116	827.280142
0.0000017200	51560.104283	827.076542
0.0000017300	51457.743817	826.797686
0.0000017400	51344.207641	826.297901
0.0000017500	51214.913771	825.467056
0.0000017600	51052.571391	824.266742
0.0000017700	50849.320761	822.741170
0.0000017800	50617.430208	821.000910
0.0000017900	50375.872776	819.188603
0.0000018000	50120.316206	817.441919
0.0000018100	49858.578667	815.867566
0.0000018200	49605.897564	814.532221
0.0000018300	49334.368232	813.466303
