Tiempo (s)	 Campo (A/m)	 Magnetizacion (A/m)
0.000000e+00	-5.185397e+04	6.443816e+01
1.000000e-08	-5.183979e+04	6.365145e+01
2.000000e-08	-5.181235e+04	6.303183e+01
3.000000e-08	-5.176952e+04	6.371330e+01
4.000000e-08	-5.171106e+04	6.516985e+01
5.000000e-08	-5.163966e+04	6.547561e+01
6.000000e-08	-5.155822e+04	6.365867e+01
7.000000e-08	-5.146599e+04	6.134941e+01
8.000000e-08	-5.135806e+04	6.134347e+01
9.000000e-08	-5.122943e+04	6.435382e+01
1.000000e-07	-5.107991e+04	6.775071e+01
1.100000e-07	-5.091465e+04	6.809224e+01
1.200000e-07	-5.073998e+04	6.480053e+01
1.300000e-07	-5.055862e+04	6.077730e+01
1.400000e-07	-5.036884e+04	5.918171e+01
1.500000e-07	-5.016737e+04	6.007149e+01
1.600000e-07	-4.995235e+04	6.076590e+01
1.700000e-07	-4.972344e+04	5.937387e+01
1.800000e-07	-4.948030e+04	5.720648e+01
1.900000e-07	-4.922214e+04	5.719965e+01
2.000000e-07	-4.894902e+04	6.026706e+01
2.100000e-07	-4.866270e+04	6.392923e+01
2.200000e-07	-4.836519e+04	6.481767e+01
2.300000e-07	-4.805642e+04	6.213644e+01
2.400000e-07	-4.773392e+04	5.821169e+01
2.500000e-07	-4.739522e+04	5.576709e+01
2.600000e-07	-4.704064e+04	5.519866e+01
2.700000e-07	-4.667306e+04	5.475169e+01
2.800000e-07	-4.629508e+04	5.295485e+01
2.900000e-07	-4.590648e+04	5.030013e+01
3.000000e-07	-4.550473e+04	4.845992e+01
3.100000e-07	-4.508774e+04	4.831027e+01
3.200000e-07	-4.465595e+04	4.909920e+01
3.300000e-07	-4.421166e+04	4.941773e+01
3.400000e-07	-4.375686e+04	4.859337e+01
3.500000e-07	-4.329176e+04	4.703986e+01
3.600000e-07	-4.281513e+04	4.557145e+01
3.700000e-07	-4.232575e+04	4.468862e+01
3.800000e-07	-4.182336e+04	4.443448e+01
3.900000e-07	-4.130871e+04	4.457716e+01
4.000000e-07	-4.078306e+04	4.474631e+01
4.100000e-07	-4.024762e+04	4.456699e+01
4.200000e-07	-3.970286e+04	4.391556e+01
4.300000e-07	-3.914825e+04	4.306197e+01
4.400000e-07	-3.858262e+04	4.239782e+01
4.500000e-07	-3.800524e+04	4.196990e+01
4.600000e-07	-3.741675e+04	4.141837e+01
4.700000e-07	-3.681882e+04	4.047532e+01
4.800000e-07	-3.621275e+04	3.940310e+01
4.900000e-07	-3.559824e+04	3.873835e+01
5.000000e-07	-3.497360e+04	3.859530e+01
5.100000e-07	-3.433731e+04	3.843042e+01
5.200000e-07	-3.368937e+04	3.764714e+01
5.300000e-07	-3.303140e+04	3.633247e+01
5.400000e-07	-3.236544e+04	3.519004e+01
5.500000e-07	-3.169268e+04	3.471718e+01
5.600000e-07	-3.101292e+04	3.462955e+01
5.700000e-07	-3.032507e+04	3.422858e+01
5.800000e-07	-2.962825e+04	3.322968e+01
5.900000e-07	-2.892259e+04	3.202985e+01
6.000000e-07	-2.820919e+04	3.114938e+01
6.100000e-07	-2.748923e+04	3.061444e+01
6.200000e-07	-2.676292e+04	3.003571e+01
6.300000e-07	-2.602923e+04	2.918042e+01
6.400000e-07	-2.528702e+04	2.823555e+01
6.500000e-07	-2.453659e+04	2.746216e+01
6.600000e-07	-2.377990e+04	2.678913e+01
6.700000e-07	-2.301904e+04	2.592861e+01
6.800000e-07	-2.225421e+04	2.482509e+01
6.900000e-07	-2.148327e+04	2.377627e+01
7.000000e-07	-2.070366e+04	2.303589e+01
7.100000e-07	-1.991471e+04	2.244746e+01
7.200000e-07	-1.911831e+04	2.162987e+01
7.300000e-07	-1.831722e+04	2.047967e+01
7.400000e-07	-1.751300e+04	1.931415e+01
7.500000e-07	-1.670545e+04	1.845895e+01
7.600000e-07	-1.589383e+04	1.782788e+01
7.700000e-07	-1.507809e+04	1.704441e+01
7.800000e-07	-1.425889e+04	1.592614e+01
7.900000e-07	-1.343667e+04	1.468840e+01
8.000000e-07	-1.261113e+04	1.362908e+01
8.100000e-07	-1.178158e+04	1.275351e+01
8.200000e-07	-1.094767e+04	1.183802e+01
8.300000e-07	-1.010948e+04	1.079685e+01
8.400000e-07	-9.267297e+03	9.808546e+00
8.500000e-07	-8.421603e+03	9.028018e+00
8.600000e-07	-7.573421e+03	8.315980e+00
8.700000e-07	-6.724256e+03	7.398096e+00
8.800000e-07	-5.875273e+03	6.249486e+00
8.900000e-07	-5.026427e+03	5.158463e+00
9.000000e-07	-4.176647e+03	4.350658e+00
9.100000e-07	-3.325049e+03	3.670846e+00
9.200000e-07	-2.471917e+03	2.766240e+00
9.300000e-07	-1.618356e+03	1.545390e+00
9.400000e-07	-7.650494e+02	3.064159e-01
9.500000e-07	8.836859e+01	-6.395239e-01
9.600000e-07	9.425939e+02	-1.355901e+00
9.700000e-07	1.797503e+03	-2.178313e+00
9.800000e-07	2.651998e+03	-3.275080e+00
9.900000e-07	3.505017e+03	-4.456378e+00
1.000000e-06	4.356458e+03	-5.459974e+00
1.010000e-06	5.206936e+03	-6.300235e+00
1.020000e-06	6.056815e+03	-7.211078e+00
1.030000e-06	6.905824e+03	-8.292576e+00
1.040000e-06	7.753676e+03	-9.372036e+00
1.050000e-06	8.600652e+03	-1.026978e+01
1.060000e-06	9.447013e+03	-1.108083e+01
1.070000e-06	1.029173e+04	-1.205917e+01
1.080000e-06	1.113224e+04	-1.325373e+01
1.090000e-06	1.196605e+04	-1.440817e+01
1.100000e-06	1.279283e+04	-1.528641e+01
1.110000e-06	1.361470e+04	-1.599664e+01
1.120000e-06	1.443420e+04	-1.687103e+01
1.130000e-06	1.525187e+04	-1.804793e+01
1.140000e-06	1.606593e+04	-1.930286e+01
1.150000e-06	1.687446e+04	-2.034389e+01
1.160000e-06	1.767754e+04	-2.117468e+01
1.170000e-06	1.847697e+04	-2.205510e+01
1.180000e-06	1.927386e+04	-2.313871e+01
1.190000e-06	2.006665e+04	-2.428497e+01
1.200000e-06	2.085195e+04	-2.527960e+01
1.210000e-06	2.162743e+04	-2.613404e+01
1.220000e-06	2.239379e+04	-2.704796e+01
1.230000e-06	2.315393e+04	-2.810473e+01
1.240000e-06	2.391020e+04	-2.914115e+01
1.250000e-06	2.466264e+04	-2.997789e+01
1.260000e-06	2.540949e+04	-3.068404e+01
1.270000e-06	2.614926e+04	-3.149774e+01
1.280000e-06	2.688166e+04	-3.250480e+01
1.290000e-06	2.760702e+04	-3.351869e+01
1.300000e-06	2.832504e+04	-3.433139e+01
1.310000e-06	2.903482e+04	-3.499466e+01
1.320000e-06	2.973591e+04	-3.574828e+01
1.330000e-06	3.042898e+04	-3.669445e+01
1.340000e-06	3.111498e+04	-3.766023e+01
1.350000e-06	3.179373e+04	-3.842846e+01
1.360000e-06	3.246362e+04	-3.901892e+01
1.370000e-06	3.312299e+04	-3.964803e+01
1.380000e-06	3.377177e+04	-4.044323e+01
1.390000e-06	3.441153e+04	-4.130779e+01
1.400000e-06	3.504379e+04	-4.209474e+01
1.410000e-06	3.566838e+04	-4.281260e+01
1.420000e-06	3.628352e+04	-4.356934e+01
1.430000e-06	3.688749e+04	-4.436700e+01
1.440000e-06	3.748005e+04	-4.508423e+01
1.450000e-06	3.806235e+04	-4.569169e+01
1.460000e-06	3.863541e+04	-4.636507e+01
1.470000e-06	3.919905e+04	-4.727196e+01
1.480000e-06	3.975211e+04	-4.829140e+01
1.490000e-06	4.029363e+04	-4.908572e+01
1.500000e-06	4.082367e+04	-4.949936e+01
1.510000e-06	4.134303e+04	-4.978433e+01
1.520000e-06	4.185223e+04	-5.032481e+01
1.530000e-06	4.235087e+04	-5.117687e+01
1.540000e-06	4.283795e+04	-5.200401e+01
1.550000e-06	4.331264e+04	-5.249586e+01
1.560000e-06	4.377483e+04	-5.273631e+01
1.570000e-06	4.422495e+04	-5.306233e+01
1.580000e-06	4.466331e+04	-5.362595e+01
1.590000e-06	4.508978e+04	-5.424391e+01
1.600000e-06	4.550400e+04	-5.470396e+01
1.610000e-06	4.590596e+04	-5.507327e+01
1.620000e-06	4.629617e+04	-5.557615e+01
1.630000e-06	4.667526e+04	-5.623136e+01
1.640000e-06	4.704320e+04	-5.678583e+01
1.650000e-06	4.739905e+04	-5.706086e+01
1.660000e-06	4.774141e+04	-5.722495e+01
1.670000e-06	4.806924e+04	-5.758318e+01
1.680000e-06	4.838225e+04	-5.814810e+01
1.690000e-06	4.868069e+04	-5.859544e+01
1.700000e-06	4.896506e+04	-5.870456e+01
1.710000e-06	4.923594e+04	-5.870144e+01
1.720000e-06	4.949402e+04	-5.901200e+01
1.730000e-06	4.973984e+04	-5.971645e+01
1.740000e-06	4.997338e+04	-6.042189e+01
1.750000e-06	5.019400e+04	-6.073792e+01
1.760000e-06	5.040112e+04	-6.074096e+01
1.770000e-06	5.059492e+04	-6.082724e+01
1.780000e-06	5.077622e+04	-6.117368e+01
1.790000e-06	5.094545e+04	-6.154337e+01
1.800000e-06	5.110179e+04	-6.167935e+01
1.810000e-06	5.124361e+04	-6.170574e+01
1.820000e-06	5.136995e+04	-6.194729e+01
1.830000e-06	5.148153e+04	-6.241439e+01
1.840000e-06	5.158003e+04	-6.271303e+01
1.850000e-06	5.166650e+04	-6.256960e+01
1.860000e-06	5.174038e+04	-6.226387e+01
1.870000e-06	5.180003e+04	-6.231559e+01
1.880000e-06	5.184402e+04	-6.278434e+01
1.890000e-06	5.187201e+04	-6.314477e+01
1.900000e-06	5.188480e+04	-6.297960e+01
1.910000e-06	5.188388e+04	-6.258238e+01
1.920000e-06	5.187077e+04	-6.258278e+01
1.930000e-06	5.184618e+04	-6.301137e+01
1.940000e-06	5.180938e+04	-6.310605e+01
1.950000e-06	5.175881e+04	-6.230527e+01
1.960000e-06	5.169397e+04	-6.122744e+01
1.970000e-06	5.161687e+04	-6.119287e+01
1.980000e-06	5.153056e+04	-6.257568e+01
1.990000e-06	5.143507e+04	-6.394520e+01
2.000000e-06	5.132475e+04	-6.332728e+01
2.010000e-06	5.119108e+04	-6.045995e+01
2.020000e-06	5.102977e+04	-5.750483e+01
2.030000e-06	5.084591e+04	-5.716601e+01
2.040000e-06	5.065126e+04	-6.003210e+01
2.050000e-06	5.045534e+04	-6.393023e+01
2.060000e-06	5.025814e+04	-6.598613e+01
2.070000e-06	5.005148e+04	-6.523856e+01
2.080000e-06	4.982709e+04	-6.319316e+01
2.090000e-06	4.958354e+04	-6.200140e+01
2.100000e-06	4.932549e+04	-6.236128e+01
2.110000e-06	4.905746e+04	-6.321442e+01
2.120000e-06	4.877934e+04	-6.318771e+01
2.130000e-06	4.848777e+04	-6.200860e+01
2.140000e-06	4.818067e+04	-6.051211e+01
2.150000e-06	4.785924e+04	-5.956019e+01
2.160000e-06	4.752572e+04	-5.920125e+01
2.170000e-06	4.718042e+04	-5.884021e+01
2.180000e-06	4.682192e+04	-5.800284e+01
2.190000e-06	4.644961e+04	-5.680485e+01
2.200000e-06	4.606502e+04	-5.574719e+01
2.210000e-06	4.566989e+04	-5.518302e+01
2.220000e-06	4.526377e+04	-5.500890e+01
2.230000e-06	4.484421e+04	-5.480999e+01
2.240000e-06	4.440949e+04	-5.426754e+01
2.250000e-06	4.396067e+04	-5.344986e+01
2.260000e-06	4.350039e+04	-5.272590e+01
2.270000e-06	4.303008e+04	-5.236961e+01
2.280000e-06	4.254879e+04	-5.223522e+01
2.290000e-06	4.205476e+04	-5.186755e+01
2.300000e-06	4.154760e+04	-5.098574e+01
2.310000e-06	4.102844e+04	-4.983044e+01
2.320000e-06	4.049855e+04	-4.894283e+01
2.330000e-06	3.995816e+04	-4.856730e+01
2.340000e-06	3.940694e+04	-4.835303e+01
2.350000e-06	3.884491e+04	-4.773894e+01
2.360000e-06	3.827249e+04	-4.660624e+01
2.370000e-06	3.768970e+04	-4.542693e+01
2.380000e-06	3.709608e+04	-4.470991e+01
2.390000e-06	3.649138e+04	-4.439546e+01
2.400000e-06	3.587627e+04	-4.392845e+01
2.410000e-06	3.525171e+04	-4.292393e+01
2.420000e-06	3.461793e+04	-4.162056e+01
2.430000e-06	3.397431e+04	-4.058333e+01
2.440000e-06	3.332046e+04	-4.003551e+01
2.450000e-06	3.265709e+04	-3.962857e+01
2.460000e-06	3.198539e+04	-3.889092e+01
2.470000e-06	3.130580e+04	-3.777038e+01
2.480000e-06	3.061779e+04	-3.662562e+01
2.490000e-06	2.992107e+04	-3.574578e+01
2.500000e-06	2.921656e+04	-3.503340e+01
2.510000e-06	2.850576e+04	-3.420571e+01
2.520000e-06	2.778913e+04	-3.318568e+01
2.530000e-06	2.706547e+04	-3.216434e+01
2.540000e-06	2.633320e+04	-3.130509e+01
2.550000e-06	2.559200e+04	-3.052684e+01
2.560000e-06	2.484290e+04	-2.964523e+01
2.570000e-06	2.408710e+04	-2.864072e+01
2.580000e-06	2.332514e+04	-2.767187e+01
2.590000e-06	2.255747e+04	-2.683302e+01
2.600000e-06	2.178527e+04	-2.601046e+01
2.610000e-06	2.100986e+04	-2.503695e+01
2.620000e-06	2.023107e+04	-2.392249e+01
2.630000e-06	1.944660e+04	-2.284326e+01
2.640000e-06	1.865378e+04	-2.191423e+01
2.650000e-06	1.785204e+04	-2.105975e+01
2.660000e-06	1.704369e+04	-2.013969e+01
2.670000e-06	1.623193e+04	-1.913139e+01
2.680000e-06	1.541820e+04	-1.811678e+01
2.690000e-06	1.460157e+04	-1.712772e+01
2.700000e-06	1.378031e+04	-1.610215e+01
2.710000e-06	1.295382e+04	-1.501459e+01
2.720000e-06	1.212304e+04	-1.395870e+01
2.730000e-06	1.128940e+04	-1.301943e+01
2.740000e-06	1.045391e+04	-1.210474e+01
