Tiempo (s)	 Campo (A/m)	 Magnetizacion (A/m)
0.000000e+00	-1.736026e+04	-6.809296e+01
1.000000e-08	-1.735421e+04	-6.813682e+01
2.000000e-08	-1.734311e+04	-6.864682e+01
3.000000e-08	-1.732838e+04	-6.904204e+01
4.000000e-08	-1.731126e+04	-6.881760e+01
5.000000e-08	-1.729131e+04	-6.816579e+01
6.000000e-08	-1.726605e+04	-6.777338e+01
7.000000e-08	-1.723280e+04	-6.808707e+01
8.000000e-08	-1.719118e+04	-6.894578e+01
9.000000e-08	-1.714382e+04	-6.991161e+01
1.000000e-07	-1.709420e+04	-7.072904e+01
1.100000e-07	-1.704357e+04	-7.132440e+01
1.200000e-07	-1.699023e+04	-7.154698e+01
1.300000e-07	-1.693164e+04	-7.123407e+01
1.400000e-07	-1.686708e+04	-7.058305e+01
1.500000e-07	-1.679786e+04	-7.016332e+01
1.600000e-07	-1.672515e+04	-7.029802e+01
1.700000e-07	-1.664836e+04	-7.055442e+01
1.800000e-07	-1.656596e+04	-7.019302e+01
1.900000e-07	-1.647770e+04	-6.921167e+01
2.000000e-07	-1.638540e+04	-6.860630e+01
2.100000e-07	-1.629101e+04	-6.922566e+01
2.200000e-07	-1.619438e+04	-7.044494e+01
2.300000e-07	-1.609328e+04	-7.044521e+01
2.400000e-07	-1.598591e+04	-6.813114e+01
2.500000e-07	-1.587303e+04	-6.459545e+01
2.600000e-07	-1.575721e+04	-6.226870e+01
2.700000e-07	-1.564009e+04	-6.248390e+01
2.800000e-07	-1.552058e+04	-6.412827e+01
2.900000e-07	-1.539591e+04	-6.491662e+01
3.000000e-07	-1.526423e+04	-6.383750e+01
3.100000e-07	-1.512591e+04	-6.202006e+01
3.200000e-07	-1.498256e+04	-6.118736e+01
3.300000e-07	-1.483514e+04	-6.165894e+01
3.400000e-07	-1.468343e+04	-6.221117e+01
3.500000e-07	-1.452684e+04	-6.173244e+01
3.600000e-07	-1.436547e+04	-6.052245e+01
3.700000e-07	-1.419992e+04	-5.974403e+01
3.800000e-07	-1.403062e+04	-5.990886e+01
3.900000e-07	-1.385762e+04	-6.033972e+01
4.000000e-07	-1.368118e+04	-6.013881e+01
4.100000e-07	-1.350206e+04	-5.928749e+01
4.200000e-07	-1.332074e+04	-5.850884e+01
4.300000e-07	-1.313647e+04	-5.823319e+01
4.400000e-07	-1.294739e+04	-5.809276e+01
4.500000e-07	-1.275203e+04	-5.752584e+01
4.600000e-07	-1.255087e+04	-5.657228e+01
4.700000e-07	-1.234606e+04	-5.578861e+01
4.800000e-07	-1.213968e+04	-5.547294e+01
4.900000e-07	-1.193200e+04	-5.528674e+01
5.000000e-07	-1.172164e+04	-5.474214e+01
5.100000e-07	-1.150724e+04	-5.383671e+01
5.200000e-07	-1.128875e+04	-5.298756e+01
5.300000e-07	-1.106723e+04	-5.242993e+01
5.400000e-07	-1.084345e+04	-5.194553e+01
5.500000e-07	-1.061717e+04	-5.124837e+01
5.600000e-07	-1.038763e+04	-5.041129e+01
5.700000e-07	-1.015475e+04	-4.970832e+01
5.800000e-07	-9.919472e+03	-4.913970e+01
5.900000e-07	-9.682902e+03	-4.838433e+01
6.000000e-07	-9.445330e+03	-4.729402e+01
6.100000e-07	-9.206027e+03	-4.621288e+01
6.200000e-07	-8.963973e+03	-4.559409e+01
6.300000e-07	-8.718601e+03	-4.537588e+01
6.400000e-07	-8.469909e+03	-4.498129e+01
6.500000e-07	-8.218102e+03	-4.400610e+01
6.600000e-07	-7.963382e+03	-4.271493e+01
6.700000e-07	-7.706038e+03	-4.168545e+01
6.800000e-07	-7.446523e+03	-4.106621e+01
6.900000e-07	-7.185268e+03	-4.042992e+01
7.000000e-07	-6.922497e+03	-3.939796e+01
7.100000e-07	-6.658346e+03	-3.816957e+01
7.200000e-07	-6.393126e+03	-3.722975e+01
7.300000e-07	-6.127198e+03	-3.664598e+01
7.400000e-07	-5.860409e+03	-3.594062e+01
7.500000e-07	-5.591761e+03	-3.473854e+01
7.600000e-07	-5.320013e+03	-3.330705e+01
7.700000e-07	-5.044907e+03	-3.222244e+01
7.800000e-07	-4.767784e+03	-3.158651e+01
7.900000e-07	-4.490762e+03	-3.086178e+01
8.000000e-07	-4.215036e+03	-2.958619e+01
8.100000e-07	-3.939873e+03	-2.802614e+01
8.200000e-07	-3.663255e+03	-2.686719e+01
8.300000e-07	-3.383563e+03	-2.631101e+01
8.400000e-07	-3.100759e+03	-2.576635e+01
8.500000e-07	-2.816175e+03	-2.457148e+01
8.600000e-07	-2.531324e+03	-2.283261e+01
8.700000e-07	-2.246867e+03	-2.129332e+01
8.800000e-07	-1.962435e+03	-2.040049e+01
8.900000e-07	-1.677181e+03	-1.976630e+01
9.000000e-07	-1.390522e+03	-1.869751e+01
9.100000e-07	-1.102651e+03	-1.708165e+01
9.200000e-07	-8.145368e+02	-1.549274e+01
9.300000e-07	-5.273465e+02	-1.442632e+01
9.400000e-07	-2.415722e+02	-1.368594e+01
9.500000e-07	4.345182e+01	-1.268592e+01
9.600000e-07	3.290588e+02	-1.121467e+01
9.700000e-07	6.160491e+02	-9.653515e+00
9.800000e-07	9.038641e+02	-8.431005e+00
9.900000e-07	1.191010e+03	-7.493594e+00
1.000000e-06	1.476387e+03	-6.468007e+00
1.010000e-06	1.760227e+03	-5.208825e+00
1.020000e-06	2.043705e+03	-3.945821e+00
1.030000e-06	2.327697e+03	-2.873824e+00
1.040000e-06	2.611951e+03	-1.824016e+00
1.050000e-06	2.895389e+03	-5.040899e-01
1.060000e-06	3.177058e+03	1.048722e+00
1.070000e-06	3.456760e+03	2.473646e+00
1.080000e-06	3.734978e+03	3.565579e+00
1.090000e-06	4.012465e+03	4.554743e+00
1.100000e-06	4.289861e+03	5.783710e+00
1.110000e-06	4.567350e+03	7.232164e+00
1.120000e-06	4.844324e+03	8.565152e+00
1.130000e-06	5.119434e+03	9.641560e+00
1.140000e-06	5.391352e+03	1.075049e+01
1.150000e-06	5.659831e+03	1.220747e+01
1.160000e-06	5.926031e+03	1.385805e+01
1.170000e-06	6.191576e+03	1.521319e+01
1.180000e-06	6.457168e+03	1.608649e+01
1.190000e-06	6.722177e+03	1.687644e+01
1.200000e-06	6.985596e+03	1.807434e+01
1.210000e-06	7.247224e+03	1.962804e+01
1.220000e-06	7.507684e+03	2.102016e+01
1.230000e-06	7.767319e+03	2.197376e+01
1.240000e-06	8.025312e+03	2.283830e+01
1.250000e-06	8.280132e+03	2.411900e+01
1.260000e-06	8.530778e+03	2.577054e+01
1.270000e-06	8.777420e+03	2.721692e+01
1.280000e-06	9.020880e+03	2.809591e+01
1.290000e-06	9.261742e+03	2.874185e+01
1.300000e-06	9.500167e+03	2.975300e+01
1.310000e-06	9.736346e+03	3.121264e+01
1.320000e-06	9.970707e+03	3.260310e+01
1.330000e-06	1.020344e+04	3.352450e+01
1.340000e-06	1.043402e+04	3.424623e+01
1.350000e-06	1.066149e+04	3.534258e+01
1.360000e-06	1.088533e+04	3.690125e+01
1.370000e-06	1.110580e+04	3.837647e+01
1.380000e-06	1.132343e+04	3.929592e+01
1.390000e-06	1.153829e+04	3.988093e+01
1.400000e-06	1.175014e+04	4.075179e+01
1.410000e-06	1.195921e+04	4.211526e+01
1.420000e-06	1.216640e+04	4.351824e+01
1.430000e-06	1.237232e+04	4.448166e+01
1.440000e-06	1.257618e+04	4.514644e+01
1.450000e-06	1.277583e+04	4.606159e+01
1.460000e-06	1.296931e+04	4.741319e+01
1.470000e-06	1.315646e+04	4.874511e+01
1.480000e-06	1.333898e+04	4.955061e+01
1.490000e-06	1.351899e+04	4.993939e+01
1.500000e-06	1.369748e+04	5.049407e+01
1.510000e-06	1.387398e+04	5.152488e+01
1.520000e-06	1.404723e+04	5.271843e+01
1.530000e-06	1.421624e+04	5.361118e+01
1.540000e-06	1.438073e+04	5.420339e+01
1.550000e-06	1.454106e+04	5.488669e+01
1.560000e-06	1.469794e+04	5.584117e+01
1.570000e-06	1.485189e+04	5.678010e+01
1.580000e-06	1.500263e+04	5.739372e+01
1.590000e-06	1.514890e+04	5.783438e+01
1.600000e-06	1.528917e+04	5.852383e+01
1.610000e-06	1.542279e+04	5.953796e+01
1.620000e-06	1.555060e+04	6.045310e+01
1.630000e-06	1.567432e+04	6.091076e+01
1.640000e-06	1.579513e+04	6.113227e+01
1.650000e-06	1.591284e+04	6.164324e+01
1.660000e-06	1.602629e+04	6.255376e+01
1.670000e-06	1.613460e+04	6.338734e+01
1.680000e-06	1.623803e+04	6.372410e+01
1.690000e-06	1.633768e+04	6.379010e+01
1.700000e-06	1.643454e+04	6.416341e+01
1.710000e-06	1.652860e+04	6.497230e+01
1.720000e-06	1.661877e+04	6.569085e+01
1.730000e-06	1.670352e+04	6.584857e+01
1.740000e-06	1.678193e+04	6.570361e+01
1.750000e-06	1.685433e+04	6.593375e+01
1.760000e-06	1.692211e+04	6.672385e+01
1.770000e-06	1.698654e+04	6.748537e+01
1.780000e-06	1.704780e+04	6.762339e+01
1.790000e-06	1.710502e+04	6.733912e+01
1.800000e-06	1.715756e+04	6.737057e+01
1.810000e-06	1.720606e+04	6.799773e+01
1.820000e-06	1.725191e+04	6.865711e+01
1.830000e-06	1.729546e+04	6.870855e+01
1.840000e-06	1.733500e+04	6.832248e+01
1.850000e-06	1.736780e+04	6.826076e+01
1.860000e-06	1.739247e+04	6.882221e+01
1.870000e-06	1.741010e+04	6.939893e+01
1.880000e-06	1.742310e+04	6.929511e+01
1.890000e-06	1.743281e+04	6.872041e+01
1.900000e-06	1.743880e+04	6.856457e+01
1.910000e-06	1.744012e+04	6.918645e+01
1.920000e-06	1.743697e+04	6.984908e+01
1.930000e-06	1.743068e+04	6.964602e+01
1.940000e-06	1.742207e+04	6.875368e+01
1.950000e-06	1.741043e+04	6.830950e+01
1.960000e-06	1.739431e+04	6.897345e+01
1.970000e-06	1.737294e+04	7.001083e+01
1.980000e-06	1.734636e+04	7.012942e+01
1.990000e-06	1.731421e+04	6.903250e+01
2.000000e-06	1.727504e+04	6.769851e+01
2.010000e-06	1.722759e+04	6.706837e+01
2.020000e-06	1.717292e+04	6.692105e+01
2.030000e-06	1.711455e+04	6.642922e+01
2.040000e-06	1.705593e+04	6.556606e+01
2.050000e-06	1.699750e+04	6.531908e+01
2.060000e-06	1.693631e+04	6.628605e+01
2.070000e-06	1.686881e+04	6.756434e+01
2.080000e-06	1.679382e+04	6.765791e+01
2.090000e-06	1.671315e+04	6.645149e+01
2.100000e-06	1.662941e+04	6.563101e+01
2.110000e-06	1.654360e+04	6.668487e+01
2.120000e-06	1.645462e+04	6.878415e+01
2.130000e-06	1.636057e+04	6.931885e+01
2.140000e-06	1.626031e+04	6.677863e+01
2.150000e-06	1.615401e+04	6.269777e+01
2.160000e-06	1.604281e+04	6.028873e+01
2.170000e-06	1.592816e+04	6.121112e+01
2.180000e-06	1.581098e+04	6.407613e+01
2.190000e-06	1.569097e+04	6.620164e+01
2.200000e-06	1.556639e+04	6.639909e+01
2.210000e-06	1.543501e+04	6.566012e+01
2.220000e-06	1.529576e+04	6.537945e+01
2.230000e-06	1.514964e+04	6.560671e+01
2.240000e-06	1.499910e+04	6.537210e+01
2.250000e-06	1.484611e+04	6.429419e+01
2.260000e-06	1.469089e+04	6.319046e+01
2.270000e-06	1.453233e+04	6.296962e+01
2.280000e-06	1.436941e+04	6.340634e+01
2.290000e-06	1.420215e+04	6.344453e+01
2.300000e-06	1.403133e+04	6.256865e+01
2.310000e-06	1.385755e+04	6.141063e+01
2.320000e-06	1.368081e+04	6.085667e+01
2.330000e-06	1.350070e+04	6.090239e+01
2.340000e-06	1.331683e+04	6.074562e+01
2.350000e-06	1.312884e+04	5.990260e+01
2.360000e-06	1.293633e+04	5.882149e+01
2.370000e-06	1.273906e+04	5.822674e+01
2.380000e-06	1.253736e+04	5.813548e+01
2.390000e-06	1.233222e+04	5.785606e+01
2.400000e-06	1.212466e+04	5.691351e+01
2.410000e-06	1.191507e+04	5.564162e+01
2.420000e-06	1.170297e+04	5.469998e+01
2.430000e-06	1.148758e+04	5.422345e+01
2.440000e-06	1.126842e+04	5.373221e+01
2.450000e-06	1.104568e+04	5.284482e+01
2.460000e-06	1.082001e+04	5.178176e+01
2.470000e-06	1.059204e+04	5.100989e+01
2.480000e-06	1.036223e+04	5.057670e+01
2.490000e-06	1.013081e+04	5.005955e+01
2.500000e-06	9.897877e+03	4.916103e+01
2.510000e-06	9.663450e+03	4.810054e+01
2.520000e-06	9.427245e+03	4.727791e+01
2.530000e-06	9.188479e+03	4.670970e+01
2.540000e-06	8.945906e+03	4.602961e+01
2.550000e-06	8.698345e+03	4.503132e+01
2.560000e-06	8.445500e+03	4.397533e+01
2.570000e-06	8.188433e+03	4.322526e+01
2.580000e-06	7.929115e+03	4.272398e+01
2.590000e-06	7.669251e+03	4.204642e+01
2.600000e-06	7.409336e+03	4.096682e+01
2.610000e-06	7.148728e+03	3.976437e+01
2.620000e-06	6.886579e+03	3.884640e+01
2.630000e-06	6.622638e+03	3.820060e+01
